SPFH_LENGTH_MILES_AMT,SPFH_ADT_AMT,CUS_YEAR,CUS_YEAR_2016,CUS_YEAR_2017,CUS_YEAR_2018,CUS_YEAR_2019,CUS_YEAR_2020,CUS_YEAR_2021,CUS_YEAR_2022,SEVERITY_LEVEL_0,SEVERITY_LEVEL_1,SEVERITY_LEVEL_2,SEVERITY_LEVEL_3,SEVERITY_LEVEL_4,CUS_N_COLL,CUS_LOG_ADT,CUS_LOG_LEN,CUS_N_FSV,predictions
0.034,37750.0,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.5387407546772,-3.38139475436598,0,0.294868971926452
0.034,37750.0,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.5387407546772,-3.38139475436598,0,0.2993712989862
0.034,38291.0,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.5529701606098,-3.38139475436598,0,0.28727702175343
0.034,38291.0,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.5529701606098,-3.38139475436598,0,0.281749370471518
0.027,37750.0,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.5387407546772,-3.61191841297781,0,0.234160654176889
0.027,37750.0,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.5387407546772,-3.61191841297781,0,0.237736031547865
0.027,38325.0,2018,0,0,1,0,0,0,0,1,0,0,2,0,3,10.55385770374,-3.61191841297781,2,0.228385319561471
0.027,38325.0,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.55385770374,-3.61191841297781,0,0.22399083511319
0.022,37750.0,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.5387407546772,-3.81671282562382,0,0.190797570070057
0.022,37750.0,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.5387407546772,-3.81671282562382,0,0.193710840520482
0.022,38578.0,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.5604374447842,-3.81671282562382,0,0.167203317185957
0.03,37750.0,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.5387407546772,-3.50655789731998,0,0.260178504640987
0.03,37750.0,2017,0,1,0,0,0,0,0,3,0,0,0,0,3,10.5387407546772,-3.50655789731998,0,0.264151146164294
0.03,38374.0,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.555135425918,-3.50655789731998,0,0.25416764753748
0.03,38374.0,2019,0,0,0,1,0,0,0,1,0,0,1,0,2,10.555135425918,-3.50655789731998,1,0.249277071485989
0.03,38595.0,2022,0,0,0,0,0,0,1,1,0,0,0,0,1,10.560878013384,-3.50655789731998,0,0.228130353089164
0.091,37750.0,2016,1,0,0,0,0,0,0,2,0,0,0,0,2,10.5387407546772,-2.39689577246529,0,0.789208130744328
0.091,37750.0,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.5387407546772,-2.39689577246529,0,0.801258476698359
0.091,38618.0,2022,0,0,0,0,0,0,1,2,0,0,0,0,2,10.5614737680025,-2.39689577246529,0,0.692511886551159
0.023,37750.0,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.5387407546772,-3.77226106305299,0,0.199470186891424
0.023,37750.0,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.5387407546772,-3.77226106305299,0,0.202515878725959
0.023,38495.0,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.5582836417121,-3.77226106305299,0,0.195631397748096
0.023,38495.0,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.5582836417121,-3.77226106305299,0,0.19186714907988
0.042,38706.0,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.5637499057603,-3.17008566069877,0,0.320533346497346
0.042,38518.0,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.5588809434842,-3.17008566069877,0,0.357507217509845
0.042,38518.0,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.5588809434842,-3.17008566069877,0,0.350628229357227
0.147,38738.0,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.5645763094022,-1.9173226922034,0,1.12302863291289
0.147,37750.0,2016,1,0,0,0,0,0,0,1,0,1,1,0,3,10.5387407546772,-1.9173226922034,2,1.27487467274084
0.147,37750.0,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.5387407546772,-1.9173226922034,0,1.29434061620504
0.065,38851.0,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.5674890954903,-2.7333680090865,0,0.498392659684464
0.065,38706.0,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.5637499057603,-2.7333680090865,0,0.556669033009893
0.065,38706.0,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.5637499057603,-2.7333680090865,0,0.545957865527243
0.052,38901.0,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.568775236217,-2.95651156040071,0,0.399357178349132
0.052,38771.0,2018,0,0,1,0,0,0,0,0,0,0,0,1,1,10.5654278234714,-2.95651156040071,0,0.446272239830007
0.052,38771.0,2019,0,0,0,1,0,0,0,1,0,0,0,0,1,10.5654278234714,-2.95651156040071,0,0.437685276265982
0.052,37750.0,2016,1,0,0,0,0,0,0,1,0,0,0,0,1,10.5387407546772,-2.95651156040071,0,0.450976074711045
0.052,37750.0,2017,0,1,0,0,0,0,0,1,0,0,0,0,1,10.5387407546772,-2.95651156040071,0,0.457861986684777
0.077,38941.0,2022,0,0,0,0,0,0,1,0,0,0,1,0,1,10.5698029591306,-2.56394985712845,1,0.592117877573383
0.03,39000.0,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.5713169251118,-3.50655789731998,0,0.231133393744527
0.03,38800.0,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.5661755256114,-3.50655789731998,0,0.269267106288387
0.03,38800.0,2017,0,1,0,0,0,0,0,0,0,0,0,1,1,10.5661755256114,-3.50655789731998,0,0.273378520829638
0.03,38900.0,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.5687495296065,-3.50655789731998,0,0.258538482614816
0.03,38900.0,2019,0,0,0,1,0,0,0,1,0,0,0,0,1,10.5687495296065,-3.50655789731998,0,0.253563804980919
0.049,38899.0,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.5687238223352,-3.01593498087151,0,0.376293098185386
0.049,38588.0,2016,1,0,0,0,0,0,0,0,0,0,0,1,1,10.5606966262904,-3.01593498087151,0,0.436795085037913
0.049,38588.0,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.5606966262904,-3.01593498087151,0,0.443464468791934
0.049,38789.0,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.5658919802615,-3.01593498087151,0,0.420770360510345
0.049,38789.0,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.5658919802615,-3.01593498087151,0,0.412674092286491
0.034,38241.0,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.551663517451,-3.38139475436598,0,0.299674233634793
0.034,38241.0,2017,0,1,0,0,0,0,0,1,0,0,0,0,1,10.551663517451,-3.38139475436598,0,0.304249931791124
0.034,38607.0,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.5611888861618,-3.38139475436598,0,0.290248237209896
