SPFH_LENGTH_MILES_AMT,SPFH_ADT_AMT,CUS_YEAR,CUS_YEAR_2016,CUS_YEAR_2017,CUS_YEAR_2018,CUS_YEAR_2019,CUS_YEAR_2020,CUS_YEAR_2021,CUS_YEAR_2022,SEVERITY_LEVEL_0,SEVERITY_LEVEL_1,SEVERITY_LEVEL_2,SEVERITY_LEVEL_3,SEVERITY_LEVEL_4,CUS_N_COLL,CUS_LOG_ADT,CUS_LOG_LEN,CUS_N_FSV,predictions
0.098,36700.0,2016,1,0,0,0,0,0,0,1,0,0,0,0,1,10.5105320340427,-2.32278780031156,0,1.57874466133278
0.098,36700.0,2017,0,1,0,0,0,0,0,2,0,0,1,0,3,10.5105320340427,-2.32278780031156,1,1.3049917051817
0.098,38000.0,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.5453414387085,-2.32278780031156,0,1.03612807512072
0.143,35828.0,2016,1,0,0,0,0,0,0,1,0,0,0,0,1,10.4864849895951,-1.94491064872223,0,2.24819017098125
0.143,35828.0,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.4864849895951,-1.94491064872223,0,1.85835594359178
0.143,36928.0,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.5167253498678,-1.94491064872223,0,1.73200827742725
0.143,36928.0,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.5167253498678,-1.94491064872223,0,1.74069073467681
0.143,37113.0,2022,0,0,0,0,0,0,1,1,0,0,0,0,1,10.5217225915309,-1.94491064872223,0,1.4761250238904
0.011,36800.0,2018,0,0,1,0,0,0,0,1,0,0,0,0,1,10.513253124157,-4.50986000618377,0,0.132763184266607
0.011,36800.0,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.513253124157,-4.50986000618377,0,0.133428718425267
0.011,35700.0,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.4829059677677,-4.50986000618377,0,0.172311282729353
0.011,35700.0,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.4829059677677,-4.50986000618377,0,0.142432655627283
0.104,36800.0,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.513253124157,-2.26336437984076,0,1.25521556033883
0.104,36800.0,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.513253124157,-2.26336437984076,0,1.26150788329343
0.104,35700.0,2016,1,0,0,0,0,0,0,1,0,0,0,0,1,10.4829059677677,-2.26336437984076,0,1.6291248548957
0.104,35700.0,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.4829059677677,-2.26336437984076,0,1.34663601683977
0.104,37000.0,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.5186731916264,-2.26336437984076,0,1.07023137781224
0.182,35700.0,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.4829059677677,-1.70374859190534,0,2.85096849606747
0.182,35700.0,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.4829059677677,-1.70374859190534,0,2.3566130294696
0.182,36800.0,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.513253124157,-1.70374859190534,0,2.19662723059295
0.182,36800.0,2019,0,0,0,1,0,0,0,0,0,1,0,0,1,10.513253124157,-1.70374859190534,1,2.20763879576351
0.182,37000.0,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.5186731916264,-1.70374859190534,0,1.87290491117142
0.015,36800.0,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.513253124157,-4.19970507787993,0,0.1810407058181
0.015,36800.0,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.513253124157,-4.19970507787993,0,0.181948252398091
0.015,35700.0,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.4829059677677,-4.19970507787993,0,0.234969930994572
0.015,35700.0,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.4829059677677,-4.19970507787993,0,0.194226348582659
0.015,37000.0,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.5186731916264,-4.19970507787993,0,0.154360294876765
0.083,36800.0,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.513253124157,-2.48891467118554,0,1.00175857219349
0.083,36800.0,2019,0,0,0,1,0,0,0,1,0,0,0,0,1,10.513253124157,-2.48891467118554,0,1.00678032993611
0.083,37000.0,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.5186731916264,-2.48891467118554,0,0.854126964984766
0.006,37000.0,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.5186731916264,-5.11599580975408,0,0.061744117950706
0.084,35700.0,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.4829059677677,-2.47693848013882,0,1.3158316135696
0.084,35700.0,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.4829059677677,-2.47693848013882,0,1.08766755206289
0.084,36800.0,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.513253124157,-2.47693848013882,0,1.01382795258136
0.084,36800.0,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.513253124157,-2.47693848013882,0,1.01891021342931
0.084,37000.0,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.5186731916264,-2.47693848013882,0,0.864417651309884
0.187,35700.0,2016,1,0,0,0,0,0,0,1,1,0,0,1,3,10.4829059677677,-1.67664666212755,1,2.92929180639899
0.187,35700.0,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.4829059677677,-1.67664666212755,0,2.42135514566382
0.187,37000.0,2022,0,0,0,0,0,0,1,1,0,0,1,0,2,10.5186731916264,-1.67664666212755,1,1.924358342797
0.008,35700.0,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.4829059677677,-4.8283137373023,0,0.125317296530438
0.008,35700.0,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.4829059677677,-4.8283137373023,0,0.103587385910752
0.008,37000.0,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.5186731916264,-4.8283137373023,0,0.0823254906009413
1.259,36800.0,2018,0,0,1,0,0,0,0,2,0,2,1,5,10,10.513253124157,0.23031775506221,3,15.1953499083325
1.259,36800.0,2019,0,0,0,1,0,0,0,4,1,0,1,1,7,10.513253124157,0.23031775506221,2,15.2715233179465
1.259,37000.0,2022,0,0,0,0,0,0,1,2,0,0,2,3,7,10.5186731916264,0.23031775506221,2,12.9559740833231
0.618,37000.0,2022,0,0,0,0,0,0,1,1,0,0,1,0,2,10.5186731916264,-0.481266821524446,1,6.35964414892272
0.618,36800.0,2018,0,0,1,0,0,0,0,0,0,0,0,1,1,10.513253124157,-0.481266821524446,0,7.45887707970572
0.618,36800.0,2019,0,0,0,1,0,0,0,0,0,0,1,2,3,10.513253124157,-0.481266821524446,1,7.49626799880136
0.121,39100.0,2016,1,0,0,0,0,0,0,0,0,0,0,1,1,10.5738777459735,-2.1119647333854,0,2.07857008648473
0.121,39100.0,2017,0,1,0,0,0,0,0,3,0,0,1,1,5,10.5738777459735,-2.1119647333854,1,1.71814783475592
0.121,40300.0,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.6041067479348,-2.1119647333854,0,1.60131432904558
0.121,40300.0,2019,0,0,0,1,0,0,0,7,0,0,1,0,8,10.6041067479348,-2.1119647333854,1,1.60934162509621
0.121,40500.0,2022,0,0,0,0,0,0,1,0,0,0,2,3,5,10.6090572530946,-2.1119647333854,2,1.36467485495368
0.147,39023.0,2016,1,0,0,0,0,0,0,0,0,0,0,1,1,10.5719064948711,-1.9173226922034,0,2.52016294593725
0.147,39023.0,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.5719064948711,-1.9173226922034,0,2.08316887505924
0.147,40353.0,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.6054210203767,-1.9173226922034,0,1.65180959607308
