SPFH_LENGTH_MILES_AMT,SPFH_ADT_AMT,CUS_YEAR,CUS_YEAR_2016,CUS_YEAR_2017,CUS_YEAR_2018,CUS_YEAR_2019,CUS_YEAR_2020,CUS_YEAR_2021,CUS_YEAR_2022,SEVERITY_LEVEL_0,SEVERITY_LEVEL_1,SEVERITY_LEVEL_2,SEVERITY_LEVEL_3,SEVERITY_LEVEL_4,CUS_N_COLL,CUS_LOG_ADT,CUS_LOG_LEN,CUS_N_FSV,predictions
0.082,4058,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.30844552038576,-2.50103603171788,0,0.0725370564530256
0.082,3722,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.2220164372022,-2.50103603171788,0,0.104613741576218
0.082,3744,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.22790983759748,-2.50103603171788,0,0.0894552998995068
0.082,3264,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.090708716084,-2.50103603171788,0,0.102215749469572
0.082,3114,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.04366335239394,-2.50103603171788,0,0.108873024340559
0.355,3027,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.01532730902172,-1.03563748950672,0,0.464186667703671
0.355,3177,2017,0,1,0,0,0,0,0,1,0,0,0,0,1,8.06369263426952,-1.03563748950672,0,0.436091661426726
0.355,3644,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.20083725837985,-1.03563748950672,0,0.381578371103894
0.355,3624,2019,0,0,0,1,0,0,0,1,0,0,0,0,1,8.19533366716287,-1.03563748950672,0,0.446336194200908
0.97,3200,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.07090608878782,-0.0304592074847086,0,1.30700336048329
0.97,3400,2017,0,1,0,0,0,0,0,1,0,0,0,0,1,8.13153071060425,-0.0304592074847086,0,1.23623777433918
0.97,3800,2019,0,0,0,1,0,0,0,1,0,0,0,0,1,8.24275634571448,-0.0304592074847086,0,1.25165681099255
0.228,7233,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.88640916684928,-1.4784096500277,0,0.445010255875247
0.228,6174,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.7281022050621,-1.4784096500277,0,0.329449571043694
0.228,6922,2019,0,0,0,1,0,0,0,0,0,0,1,0,1,8.84246002419529,-1.4784096500277,1,0.413158525798938
0.228,7222,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.8848872018374,-1.4784096500277,0,0.280096120458376
0.124,7226,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.88544091170758,-2.0874737133771,0,0.152382854789056
0.124,6926,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.84303772496237,-2.0874737133771,0,0.224776527770072
