SPFH_LENGTH_MILES_AMT,SPFH_ADT_AMT,CUS_YEAR,CUS_YEAR_2016,CUS_YEAR_2017,CUS_YEAR_2018,CUS_YEAR_2019,CUS_YEAR_2020,CUS_YEAR_2021,CUS_YEAR_2022,SEVERITY_LEVEL_0,SEVERITY_LEVEL_1,SEVERITY_LEVEL_2,SEVERITY_LEVEL_3,SEVERITY_LEVEL_4,CUS_N_COLL,CUS_LOG_ADT,CUS_LOG_LEN,CUS_N_FSV,predictions
0.033,45500,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.725467604939,-3.41124771751566,0,0.394924852517668
0.033,48500,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.7893190769256,-3.41124771751566,0,0.360844914493952
0.033,55000,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.9150884642146,-3.41124771751566,0,0.398221942592565
0.033,47800,2017,0,1,0,0,0,0,0,1,0,0,0,1,2,10.7747809184795,-3.41124771751566,0,0.363508971153125
0.033,47800,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.7747809184795,-3.41124771751566,0,0.433600025255563
0.002,45500,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.725467604939,-6.21460809842219,0,0.0239348395465254
0.002,47800,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.7747809184795,-6.21460809842219,0,0.022030846736553
0.002,47800,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.7747809184795,-6.21460809842219,0,0.0262787894094281
0.059,47800,2017,0,1,0,0,0,0,0,3,0,0,0,0,3,10.7747809184795,-2.83021783507642,0,0.649909978728314
0.059,47800,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.7747809184795,-2.83021783507642,0,0.775224287578128
0.059,55000,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.9150884642146,-2.83021783507642,0,0.711972564029132
0.059,45500,2016,1,0,0,0,0,0,0,1,0,0,1,2,4,10.725467604939,-2.83021783507642,1,0.706077766622498
0.057,55000,2019,0,0,0,1,0,0,0,0,0,0,1,0,1,10.9150884642146,-2.86470401114759,1,0.687837900841704
0.057,45500,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.725467604939,-2.86470401114759,0,0.682142927075973
0.057,48500,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.7893190769256,-2.86470401114759,0,0.623277579580462
0.31,55000,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.9150884642146,-1.17118298150295,0,3.74087279405137
0.512,48500,2022,0,0,0,0,0,0,1,2,0,0,4,1,7,10.7893190769256,-0.669430653942629,4,5.59856352184555
0.125,48500,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.7893190769256,-2.07944154167984,0,1.36683679732557
0.047,45500,2016,1,0,0,0,0,0,0,2,0,0,0,1,3,10.725467604939,-3.05760767727208,0,0.562468729343346
0.047,47800,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.7747809184795,-3.05760767727208,0,0.517724898308996
0.047,47800,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.7747809184795,-3.05760767727208,0,0.61755155112156
0.047,55000,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.9150884642146,-3.05760767727208,0,0.567164584904563
0.036,45500,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.725467604939,-3.32423634052603,0,0.430827111837456
0.036,47800,2017,0,1,0,0,0,0,0,0,0,0,1,0,1,10.7747809184795,-3.32423634052603,1,0.396555241257954
0.036,47800,2018,0,0,1,0,0,0,0,1,0,0,0,0,1,10.7747809184795,-3.32423634052603,0,0.473018209369705
0.029,45500,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.725467604939,-3.54045944899566,0,0.347055173424618
0.029,47800,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.7747809184795,-3.54045944899566,0,0.319447277680019
0.029,47800,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.7747809184795,-3.54045944899566,0,0.381042446436707
0.029,55000,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.9150884642146,-3.54045944899566,0,0.349952616217709
0.103,45500,2016,1,0,0,0,0,0,0,0,0,0,1,1,2,10.725467604939,-2.2730262907525,1,1.23264423664606
0.103,48500,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.7893190769256,-2.2730262907525,0,1.12627352099627
0.103,55000,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.9150884642146,-2.2730262907525,0,1.24293515415255
0.076,45500,2016,1,0,0,0,0,0,0,1,0,0,0,0,1,10.725467604939,-2.57702193869581,0,0.909523902767963
0.076,47800,2017,0,1,0,0,0,0,0,2,0,0,0,0,2,10.7747809184795,-2.57702193869581,0,0.837172175989015
0.076,47800,2018,0,0,1,0,0,0,0,0,0,0,1,0,1,10.7747809184795,-2.57702193869581,1,0.998593997558266
0.076,48500,2022,0,0,0,0,0,0,1,2,0,1,0,0,3,10.7893190769256,-2.57702193869581,1,0.831036772773949
0.016,69000,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,11.1418617835794,-4.13516655674236,0,0.309084713178434
0.016,72500,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,11.1913418408428,-4.13516655674236,0,0.284551887422325
0.016,72500,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,11.1913418408428,-4.13516655674236,0,0.339418598615176
0.016,78000,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,11.2644641056717,-4.13516655674236,0,0.288547701234163
0.076,69000,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,11.1418617835794,-2.57702193869581,0,1.46815238759756
0.076,72500,2017,0,1,0,0,0,0,0,1,0,0,1,0,2,11.1913418408428,-2.57702193869581,1,1.35162146525604
0.076,72500,2018,0,0,1,0,0,0,0,1,0,0,0,0,1,11.1913418408428,-2.57702193869581,0,1.61223834342209
