SPFH_LENGTH_MILES_AMT,SPFH_ADT_AMT,CUS_YEAR,CUS_YEAR_2016,CUS_YEAR_2017,CUS_YEAR_2018,CUS_YEAR_2019,CUS_YEAR_2020,CUS_YEAR_2021,CUS_YEAR_2022,SEVERITY_LEVEL_0,SEVERITY_LEVEL_1,SEVERITY_LEVEL_2,SEVERITY_LEVEL_3,SEVERITY_LEVEL_4,CUS_N_COLL,CUS_LOG_ADT,CUS_LOG_LEN,CUS_N_FSV,predictions
0.05,69000,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,11.1418617835794,-2.99573227355399,0,0.571852392795043
0.05,69000,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,11.1418617835794,-2.99573227355399,0,0.462544290889769
0.028,78000,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,11.2644641056717,-3.57555076880693,0,0.369672299843197
0.14,69000,2016,1,0,0,0,0,0,0,0,0,0,1,0,1,11.1418617835794,-1.96611285637283,1,1.60118669982612
0.14,72500,2017,0,1,0,0,0,0,0,2,0,0,3,1,6,11.1913418408428,-1.96611285637283,3,1.89113628074329
0.14,72500,2018,0,0,1,0,0,0,0,1,0,0,1,1,3,11.1913418408428,-1.96611285637283,1,1.9261584137838
0.14,69000,2022,0,0,0,0,0,0,1,2,0,0,0,1,3,11.1418617835794,-1.96611285637283,0,1.29512401449135
0.026,69000,2016,1,0,0,0,0,0,0,1,0,0,0,0,1,11.1418617835794,-3.64965874096066,0,0.297363244253422
0.026,72500,2017,0,1,0,0,0,0,0,1,0,0,0,0,1,11.1913418408428,-3.64965874096066,0,0.351211023566611
0.026,72500,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,11.1913418408428,-3.64965874096066,0,0.357715133988419
0.026,78000,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,11.2644641056717,-3.64965874096066,0,0.343267135568683
0.033,72500,2017,0,1,0,0,0,0,0,0,0,0,0,1,1,11.1913418408428,-3.41124771751566,0,0.445767837603776
0.033,72500,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,11.1913418408428,-3.41124771751566,0,0.454023054677609
0.033,78000,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,11.2644641056717,-3.41124771751566,0,0.435685210529482
0.049,69000,2016,1,0,0,0,0,0,0,0,0,0,1,0,1,11.1418617835794,-3.01593498087151,1,0.560415344939142
0.049,72500,2017,0,1,0,0,0,0,0,1,0,0,0,0,1,11.1913418408428,-3.01593498087151,0,0.661897698260152
0.049,72500,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,11.1913418408428,-3.01593498087151,0,0.674155444824329
0.049,69000,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,11.1418617835794,-3.01593498087151,0,0.453293405071974
0.049,78000,2019,0,0,0,1,0,0,0,0,0,0,0,1,1,11.2644641056717,-3.01593498087151,0,0.646926524725595
0.029,69000,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,11.1418617835794,-3.54045944899566,0,0.331674387821125
