SPFH_LENGTH_MILES_AMT,SPFH_ADT_AMT,CUS_YEAR,CUS_YEAR_2016,CUS_YEAR_2017,CUS_YEAR_2018,CUS_YEAR_2019,CUS_YEAR_2020,CUS_YEAR_2021,CUS_YEAR_2022,SEVERITY_LEVEL_0,SEVERITY_LEVEL_1,SEVERITY_LEVEL_2,SEVERITY_LEVEL_3,SEVERITY_LEVEL_4,CUS_N_COLL,CUS_LOG_ADT,CUS_LOG_LEN,CUS_N_FSV,predictions
0.118,3750,2016,1,0,0,0,0,0,0,1,0,0,0,0,1,8.22951111896446,-2.13707065451647,0,0.0882533378489428
0.118,3750,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.22951111896446,-2.13707065451647,0,0.117287890282736
0.118,4100,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.3187422526924,-2.13707065451647,0,0.0853435253788744
0.118,4100,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.3187422526924,-2.13707065451647,0,0.109433496293467
0.118,3900,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.26873183211774,-2.13707065451647,0,0.0641505125526702
0.075,3900,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.26873183211774,-2.59026716544583,0,0.040773630859748
0.075,4100,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.3187422526924,-2.59026716544583,0,0.0542437661306405
0.075,4100,2019,0,0,0,1,0,0,0,0,0,0,0,1,1,8.3187422526924,-2.59026716544583,0,0.0695551883221185
0.075,3750,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.22951111896446,-2.59026716544583,0,0.0560932232090738
0.075,3750,2017,0,1,0,0,0,0,0,1,0,0,0,0,1,8.22951111896446,-2.59026716544583,0,0.0745473878915692
0.688,3900,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.26873183211774,-0.373966441048793,0,0.374030107086755
0.688,3750,2016,1,0,0,0,0,0,0,0,0,1,0,0,1,8.22951111896446,-0.373966441048793,1,0.514561834237904
0.688,3750,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.22951111896446,-0.373966441048793,0,0.683848038258661
0.191,3750,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.22951111896446,-1.65548185093551,0,0.142850741772441
0.191,3750,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.22951111896446,-1.65548185093551,0,0.18984734783053
0.191,4100,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.3187422526924,-1.65548185093551,0,0.138140791079364
0.191,4100,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.3187422526924,-1.65548185093551,0,0.177133879593662
0.15199,4100,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.3187422526924,-1.88394054977377,0,0.109926800189281
0.15199,4100,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.3187422526924,-1.88394054977377,0,0.140955907641051
1e-05,4100,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.3187422526924,-11.5129254649702,0,7.23250215075206e-06
1e-05,4100,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.3187422526924,-11.5129254649702,0,9.27402510961581e-06
1e-05,3750,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.22951111896446,-11.5129254649702,0,7.4790964278765e-06
1e-05,3750,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.22951111896446,-11.5129254649702,0,9.93965171887588e-06
0.148,3900,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.26873183211774,-1.91054300521802,0,0.0804599648965694
0.001,4100,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.3187422526924,-6.90775527898214,0,0.0007232502150752
0.001,4100,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.3187422526924,-6.90775527898214,0,0.0009274025109615
0.073,4100,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.3187422526924,-2.61729583783375,0,0.05279726570049
0.073,4100,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.3187422526924,-2.61729583783375,0,0.0677003833001954
0.073,3900,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.26873183211774,-2.61729583783375,0,0.0396863340368214
0.00098,7500,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.9226582995244,-6.92795798629966,0,0.0019687658352775
0.00098,7500,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.9226582995244,-6.92795798629966,0,0.0026164720441017
0.00098,3900,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.26873183211774,-6.92795798629966,0,0.000532775443234
2e-05,7500,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.9226582995244,-10.8197782844103,0,4.01788945975006e-05
2e-05,7500,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.9226582995244,-10.8197782844103,0,5.33973886551384e-05
2e-05,4100,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.3187422526924,-10.8197782844103,0,1.44650043015041e-05
2e-05,4100,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.3187422526924,-10.8197782844103,0,1.85480502192316e-05
0.112,4100,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.3187422526924,-2.18925640768704,0,0.0810040240884231
0.112,4100,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.3187422526924,-2.18925640768704,0,0.103869081227697
0.001,3900,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.26873183211774,-6.90775527898214,0,0.0005436484114633
0.19,3900,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.26873183211774,-1.66073120682165,0,0.103293198178028
0.512,4100,2018,0,0,1,0,0,0,0,1,0,0,0,1,2,8.3187422526924,-0.669430653942629,0,0.370304110118506
0.512,4100,2019,0,0,0,1,0,0,0,0,0,1,0,1,2,8.3187422526924,-0.669430653942629,1,0.474830085612329
0.512,3900,2022,0,0,0,0,0,0,1,2,0,0,0,0,2,8.26873183211774,-0.669430653942629,0,0.278347986669213
0.258,4100,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.3187422526924,-1.35479569406052,0,0.186598555489403
0.258,4100,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.3187422526924,-1.35479569406052,0,0.239269847828088
0.258,3900,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.26873183211774,-1.35479569406052,0,0.140261290157533
0.148,4100,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.3187422526924,-1.91054300521802,0,0.10704103183113
0.148,4100,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.3187422526924,-1.91054300521802,0,0.137255571622314
0.112,3900,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.26873183211774,-2.18925640768704,0,0.0608886220838904
0.953,4975,2016,1,0,0,0,0,0,0,1,0,0,0,0,1,8.51218064959269,-0.048140375327935,0,1.06644692767162
0.953,4975,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.51218064959269,-0.048140375327935,0,1.41729835147088
0.953,4975,2018,0,0,1,0,0,0,0,0,0,0,1,0,1,8.51218064959269,-0.048140375327935,1,0.90810651992514
