SPFH_LENGTH_MILES_AMT,SPFH_ADT_AMT,CUS_YEAR,CUS_YEAR_2016,CUS_YEAR_2017,CUS_YEAR_2018,CUS_YEAR_2019,CUS_YEAR_2020,CUS_YEAR_2021,CUS_YEAR_2022,SEVERITY_LEVEL_0,SEVERITY_LEVEL_1,SEVERITY_LEVEL_2,SEVERITY_LEVEL_3,SEVERITY_LEVEL_4,CUS_N_COLL,CUS_LOG_ADT,CUS_LOG_LEN,CUS_N_FSV,predictions
1.145,43000,2016,1,0,0,0,0,0,0,3,0,0,0,1,4,10.6689553946757,0.135404637006203,0,9.61633517707513
1.145,39000,2017,0,1,0,0,0,0,0,2,0,0,0,1,3,10.5713169251118,0.135404637006203,0,7.56684126021017
1.145,40000,2018,0,0,1,0,0,0,0,2,0,0,1,0,3,10.5966347330961,0.135404637006203,1,8.24757825035823
1.145,26500,2019,0,0,0,1,0,0,0,3,0,0,2,0,5,10.1849000119743,0.135404637006203,2,4.0955248187873
0.06599,43000,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.6689553946757,-2.71825206358681,0,0.554220050947762
0.06599,34500,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.4487146030195,-2.71825206358681,0,0.348953591849902
0.06599,26500,2019,0,0,0,1,0,0,0,0,0,0,0,1,1,10.1849000119743,-2.71825206358681,0,0.236038150909846
0.06599,40000,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.5966347330961,-2.71825206358681,0,0.475334225974794
1e-05,40000,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.5966347330961,-11.5129254649702,0,7.20312510948316e-05
1e-05,43000,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.6689553946757,-11.5129254649702,0,8.39854600617915e-05
2e-05,34500,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.4487146030195,-10.8197782844103,0,0.000105759536854
1.145,40000,2018,0,0,1,0,0,0,0,3,0,0,0,3,6,10.5966347330961,0.135404637006203,0,8.24757825035823
1.145,26500,2019,0,0,0,1,0,0,0,7,0,0,1,2,10,10.1849000119743,0.135404637006203,1,4.0955248187873
1.145,34500,2022,0,0,0,0,0,0,1,4,1,0,0,1,6,10.4487146030195,0.135404637006203,1,6.05473348489374
0.08898,43000,2016,1,0,0,0,0,0,0,1,0,0,0,0,1,10.6689553946757,-2.41934365360424,0,0.747302623629821
0.08898,39000,2017,0,1,0,0,0,0,0,0,0,0,2,0,2,10.5713169251118,-2.41934365360424,2,0.588032781950656
0.08898,40000,2018,0,0,1,0,0,0,0,5,0,0,0,1,6,10.5966347330961,-2.41934365360424,0,0.640934072241812
0.08898,34500,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.4487146030195,-2.41934365360424,0,0.47052417946362
2e-05,43000,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.6689553946757,-10.8197782844103,0,0.0001679709201235
2e-05,40000,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.5966347330961,-10.8197782844103,0,0.0001440625021896
2e-05,26500,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.1849000119743,-10.8197782844103,0,7.15375514198654e-05
1.556,25501,2016,1,0,0,0,0,0,0,15,1,1,3,6,26,10.1464729460639,0.4421184257562,5,6.89164484076941
1.556,24000,2018,0,0,1,0,0,0,0,11,0,0,1,1,13,10.0858091093301,0.4421184257562,1,6.06820115261121
1.556,23900,2019,0,0,0,1,0,0,0,6,0,0,1,3,10,10.0816337379196,0.4421184257562,1,4.95031641714477
1.556,27300,2017,0,1,0,0,0,0,0,17,0,1,2,12,32,10.214641981173,0.4421184257562,3,6.66150984874555
1.556,19800,2022,0,0,0,0,0,0,1,4,0,1,2,3,10,9.89343721668263,0.4421184257562,3,4.34829047343253
1.239,16988,2016,1,0,0,0,0,0,0,1,0,0,0,0,1,9.74026249143316,0.214304602647005,0,3.52624386303774
1.239,25648,2018,0,0,1,0,0,0,0,0,0,0,2,1,3,10.1522208748493,0.214304602647005,2,5.20871056722739
1.239,27300,2017,0,1,0,0,0,0,0,4,0,0,0,2,6,10.214641981173,0.214304602647005,0,5.30437705822348
0.03799,23845,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.0793298307323,-3.2704323117826,0,0.130190198298555
0.03799,27300,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.214641981173,-3.2704323117826,0,0.162641876062881
0.03799,26860,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.1983934700772,-3.2704323117826,0,0.138012116736739
1e-05,26900,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.1998815655899,-11.5129254649702,0,3.63909218815722e-05
1e-05,27300,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.214641981173,-11.5129254649702,0,4.28117599533776e-05
0.08098,27300,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.214641981173,-2.51355306837812,0,0.346689632102452
0.08098,24000,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.0858091093301,-2.51355306837812,0,0.315811651245794
0.08098,23900,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.0816337379196,-2.51355306837812,0,0.257632791426982
0.08098,21256,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,9.96439448743965,-2.51355306837812,0,0.24439473833711
2e-05,27300,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.214641981173,-10.8197782844103,0,8.56235199067551e-05
2e-05,24000,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.0858091093301,-10.8197782844103,0,7.79974441209667e-05
2e-05,23900,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.0816337379196,-10.8197782844103,0,6.36287457216551e-05
0.472,23900,2019,0,0,0,1,0,0,0,2,0,0,1,0,3,10.0816337379196,-0.750776293396582,1,1.50163839903106
0.472,19800,2022,0,0,0,0,0,0,1,1,0,0,1,0,2,9.89343721668263,-0.750776293396582,1,1.31901870402324
0.021,24000,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.0858091093301,-3.86323284125871,0,0.0818973163270151
0.021,20056,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,9.90628363983813,-3.86323284125871,0,0.0595031930887027
