SPFH_LENGTH_MILES_AMT,SPFH_ADT_AMT,CUS_YEAR,CUS_YEAR_2016,CUS_YEAR_2017,CUS_YEAR_2018,CUS_YEAR_2019,CUS_YEAR_2020,CUS_YEAR_2021,CUS_YEAR_2022,SEVERITY_LEVEL_0,SEVERITY_LEVEL_1,SEVERITY_LEVEL_2,SEVERITY_LEVEL_3,SEVERITY_LEVEL_4,CUS_N_COLL,CUS_LOG_ADT,CUS_LOG_LEN,CUS_N_FSV,predictions
0.194,11452,2022,0,0,0,0,0,0,1,0,0,0,1,0,1,9.345919666218,-1.63989711991881,1,0.5366861283664
0.04,11391,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,9.34057884889991,-3.2188758248682,0,0.110186940631028
0.171,11170,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,9.32098689206325,-1.76609172247948,0,0.463751454492025
0.015,10838,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,9.29081375612606,-4.19970507787993,0,0.0397134145494641
0.048,6575,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.79102985704596,-3.03655426807425,0,0.0853310975368492
0.048,7130,2018,0,0,1,0,0,0,0,1,0,0,0,0,1,8.87206651340834,-3.03655426807425,0,0.104078020080726
0.048,4888,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.49453850085143,-3.03655426807425,0,0.09238999827877
0.089,6837,2019,0,0,0,1,0,0,0,1,0,0,0,0,1,8.83010431791379,-2.41911890925,0,0.197900664617729
0.089,7143,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.87388813515497,-2.41911890925,0,0.193258351841164
0.089,5034,2017,0,1,0,0,0,0,0,1,0,0,0,0,1,8.52397017569526,-2.41911890925,0,0.156987321064458
0.089,4916,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.50025047068593,-2.41911890925,0,0.172088042453876
0.125,4968,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.51077262361331,-2.07944154167984,0,0.243731979780097
0.125,7167,2018,0,0,1,0,0,0,0,1,1,0,0,0,2,8.87724243599392,-2.07944154167984,1,0.272156826796294
0.125,6568,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.78996465113226,-2.07944154167984,0,0.222027837755922
0.11,5166,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.54985397365579,-2.20727491318972,0,0.198073274457925
0.11,5041,2016,1,0,0,0,0,0,0,0,0,0,2,0,2,8.52535975408263,-2.20727491318972,2,0.216992103798901
0.017,5234,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.56293108309009,-4.07454193492592,0,0.0309320160710022
0.017,5105,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.53797573059877,-4.07454193492592,0,0.033874014881073
0.017,7229,2018,0,0,1,0,0,0,0,1,0,0,0,0,1,8.8858559930003,-4.07454193492592,0,0.0372682820458683
0.017,6557,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.78828846026362,-4.07454193492592,0,0.030155476308036
0.017,6799,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.82453082152646,-4.07454193492592,0,0.0376337181728001
0.205,5115,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.53993267838573,-1.58474529984373,0,0.409118324016646
