SPFH_LENGTH_MILES_AMT,SPFH_ADT_AMT,CUS_YEAR,CUS_YEAR_2016,CUS_YEAR_2017,CUS_YEAR_2018,CUS_YEAR_2019,CUS_YEAR_2020,CUS_YEAR_2021,CUS_YEAR_2022,SEVERITY_LEVEL_0,SEVERITY_LEVEL_1,SEVERITY_LEVEL_2,SEVERITY_LEVEL_3,SEVERITY_LEVEL_4,CUS_N_COLL,CUS_LOG_ADT,CUS_LOG_LEN,CUS_N_FSV,predictions
0.398,47400,2017,0,1,0,0,0,0,0,0,0,0,1,1,2,10.7663775076832,-0.921303273697699,1,10.2768699267456
0.398,29368,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.2876609251767,-0.921303273697699,0,3.16519881402819
0.149,38000,2016,1,0,0,0,0,0,0,3,0,0,0,0,3,10.5453414387085,-1.90380897303668,0,2.23986461277048
0.149,44500,2017,0,1,0,0,0,0,0,2,0,0,0,0,2,10.7032444681543,-1.90380897303668,0,3.24751409710762
0.149,32891,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.4009543430991,-1.90380897303668,0,2.06410685670825
0.149,35700,2018,0,0,1,0,0,0,0,3,0,0,0,0,3,10.4829059677677,-1.90380897303668,0,1.92393985871818
0.009,33277,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.4126217466411,-4.71053070164592,0,0.127737170464187
0.009,29000,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.2750511089686,-4.71053070164592,0,0.0698859336467723
0.009,35700,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.4829059677677,-4.71053070164592,0,0.116211132405796
0.009,44500,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.7032444681543,-4.71053070164592,0,0.19615856962395
0.009,38000,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.5453414387085,-4.71053070164592,0,0.1352938356707
0.138,37000,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.5186731916264,-1.98050159382493,0,1.91910157286538
0.138,22900,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.0388921895423,-1.98050159382493,0,0.989587747718456
0.265,38500,2016,1,0,0,0,0,0,0,2,0,0,1,2,5,10.5584135202759,-1.32802545299591,1,4.10641537657476
0.265,37000,2017,0,1,0,0,0,0,0,2,0,0,1,2,5,10.5186731916264,-1.32802545299591,1,3.685231281227
0.265,29700,2018,0,0,1,0,0,0,0,3,0,0,1,1,5,10.2989023247908,-1.32802545299591,1,2.34421647649768
0.081,26000,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.1658518170036,-2.5133061243097,0,0.568124191065144
0.081,28500,2022,0,0,0,0,0,0,1,1,0,0,0,1,2,10.2576593662567,-2.5133061243097,0,0.608812786914516
0.129,28500,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.2576593662567,-2.04794287462046,0,0.96959073471571
0.129,29700,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.2989023247908,-2.04794287462046,0,1.45828226142737
0.129,27300,2017,0,1,0,0,0,0,0,0,0,0,1,0,1,10.214641981173,-2.04794287462046,1,0.970057271472798
0.129,26000,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.1658518170036,-2.04794287462046,0,0.904790378363007
0.098,26000,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.1658518170036,-2.32278780031156,0,0.687360132399804
0.098,27300,2017,0,1,0,0,0,0,0,1,0,0,0,0,1,10.214641981173,-2.32278780031156,0,0.736942733366932
0.098,29700,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.2989023247908,-2.32278780031156,0,1.10784233813862
0.098,28500,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.2576593662567,-2.32278780031156,0,0.736588310094106
0.026,12500,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,9.43348392329039,-3.64965874096066,0,0.066083426667006
0.026,12500,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,9.43348392329039,-3.64965874096066,0,0.064976491837916
0.026,12500,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,9.43348392329039,-3.64965874096066,0,0.0653450886181395
0.026,12500,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,9.43348392329039,-3.64965874096066,0,0.083505098737589
0.026,12500,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,9.43348392329039,-3.64965874096066,0,0.0600212429879227
0.02,11613,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,9.35988043924576,-3.91202300542815,0,0.0469331252898178
0.02,11613,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,9.35988043924576,-3.91202300542815,0,0.0461469688563277
0.02,11613,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,9.35988043924576,-3.91202300542815,0,0.0464087500583653
0.02,11613,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,9.35988043924576,-3.91202300542815,0,0.0593061749224731
0.02,11613,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,9.35988043924576,-3.91202300542815,0,0.042627700458052
0.066,10248,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,9.23483784357657,-2.71810053695571,0,0.136145864404199
0.066,10248,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,9.23483784357657,-2.71810053695571,0,0.133865344056715
0.066,10248,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,9.23483784357657,-2.71810053695571,0,0.134624731542976
0.066,10248,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,9.23483784357657,-2.71810053695571,0,0.172038201152534
0.066,10248,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,9.23483784357657,-2.71810053695571,0,0.12365648122913
0.07898,7996,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.98669669562029,-2.53856062312363,0,0.128895823803904
0.07898,7996,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.98669669562029,-2.53856062312363,0,0.126736745743201
0.07898,7996,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.98669669562029,-2.53856062312363,0,0.127455694321304
0.07898,7996,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.98669669562029,-2.53856062312363,0,0.162876821564428
0.07898,7996,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.98669669562029,-2.53856062312363,0,0.117071525356073
2e-05,5301,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.57565076098781,-10.8197782844103,0,2.32519030046002e-05
2e-05,5301,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.57565076098781,-10.8197782844103,0,2.28624204584224e-05
2e-05,5301,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.57565076098781,-10.8197782844103,0,2.29921137418042e-05
2e-05,5301,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.57565076098781,-10.8197782844103,0,2.93818367806494e-05
