SPFH_LENGTH_MILES_AMT,SPFH_ADT_AMT,CUS_YEAR,CUS_YEAR_2016,CUS_YEAR_2017,CUS_YEAR_2018,CUS_YEAR_2019,CUS_YEAR_2020,CUS_YEAR_2021,CUS_YEAR_2022,SEVERITY_LEVEL_0,SEVERITY_LEVEL_1,SEVERITY_LEVEL_2,SEVERITY_LEVEL_3,SEVERITY_LEVEL_4,CUS_N_COLL,CUS_LOG_ADT,CUS_LOG_LEN,CUS_N_FSV,predictions
0.398,47400,2017,0,1,0,0,0,0,0,0,0,0,1,1,2,10.7663775076832,-0.921303273697699,1,7.40540527865925
0.398,29368,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.2876609251767,-0.921303273697699,0,3.4007465215648
0.149,38000,2016,1,0,0,0,0,0,0,3,0,0,0,0,3,10.5453414387085,-1.90380897303668,0,2.1233001319321
0.149,44500,2017,0,1,0,0,0,0,0,2,0,0,0,0,2,10.7032444681543,-1.90380897303668,0,2.52448409704896
0.149,32891,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.4009543430991,-1.90380897303668,0,2.15776378612648
0.149,35700,2018,0,0,1,0,0,0,0,3,0,0,0,0,3,10.4829059677677,-1.90380897303668,0,1.90797918366519
0.009,33277,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.4126217466411,-4.71053070164592,0,0.132610514881083
0.009,29000,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.2750511089686,-4.71053070164592,0,0.0754759593351986
0.009,35700,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.4829059677677,-4.71053070164592,0,0.115247064785145
0.009,44500,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.7032444681543,-4.71053070164592,0,0.152485616600273
0.009,38000,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.5453414387085,-4.71053070164592,0,0.128253028103281
0.138,37000,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.5186731916264,-1.98050159382493,0,1.77802589781414
0.138,22900,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.0388921895423,-1.98050159382493,0,1.16789602578214
0.265,38500,2016,1,0,0,0,0,0,0,2,0,0,1,2,5,10.5584135202759,-1.32802545299591,1,3.8502941386332
0.265,37000,2017,0,1,0,0,0,0,0,2,0,0,1,2,5,10.5186731916264,-1.32802545299591,1,3.41432509362861
0.265,29700,2018,0,0,1,0,0,0,0,3,0,0,1,1,5,10.2989023247908,-1.32802545299591,1,2.58268603418962
0.081,26000,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.1658518170036,-2.5133061243097,0,0.657337361269023
0.081,28500,2022,0,0,0,0,0,0,1,1,0,0,0,1,2,10.2576593662567,-2.5133061243097,0,0.661980029716089
0.129,28500,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.2576593662567,-2.04794287462046,0,1.05426449177007
0.129,29700,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.2989023247908,-2.04794287462046,0,1.60564949550719
0.129,27300,2017,0,1,0,0,0,0,0,0,0,0,1,0,1,10.214641981173,-2.04794287462046,1,1.0586393982546
0.129,26000,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.1658518170036,-2.04794287462046,0,1.04687061239141
0.098,26000,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.1658518170036,-2.32278780031156,0,0.795297054374868
0.098,27300,2017,0,1,0,0,0,0,0,1,0,0,0,0,1,10.214641981173,-2.32278780031156,0,0.80423768239497
0.098,29700,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.2989023247908,-2.32278780031156,0,1.2197957407729
0.098,28500,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.2576593662567,-2.32278780031156,0,0.800914110026873
0.026,12500,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,9.43348392329039,-3.64965874096066,0,0.0711835866656595
0.026,12500,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,9.43348392329039,-3.64965874096066,0,0.0669571972707292
0.026,12500,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,9.43348392329039,-3.64965874096066,0,0.0701733203816596
0.026,12500,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,9.43348392329039,-3.64965874096066,0,0.0896204918763063
0.026,12500,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,9.43348392329039,-3.64965874096066,0,0.0625577044478455
0.02,11613,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,9.35988043924576,-3.91202300542815,0,0.04909198116295
0.02,11613,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,9.35988043924576,-3.91202300542815,0,0.0461772386179063
0.02,11613,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,9.35988043924576,-3.91202300542815,0,0.0483952478890757
0.02,11613,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,9.35988043924576,-3.91202300542815,0,0.0618070499828921
0.02,11613,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,9.35988043924576,-3.91202300542815,0,0.0431431147572757
0.066,10248,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,9.23483784357657,-2.71810053695571,0,0.134571801382793
0.066,10248,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,9.23483784357657,-2.71810053695571,0,0.12658185790197
0.066,10248,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,9.23483784357657,-2.71810053695571,0,0.132661903889812
0.066,10248,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,9.23483784357657,-2.71810053695571,0,0.169426571454634
0.066,10248,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,9.23483784357657,-2.71810053695571,0,0.118264664261153
0.07898,7996,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.98669669562029,-2.53856062312363,0,0.111439467081058
0.07898,7996,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.98669669562029,-2.53856062312363,0,0.10482296173327
0.07898,7996,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.98669669562029,-2.53856062312363,0,0.109857873042706
0.07898,7996,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.98669669562029,-2.53856062312363,0,0.140302846794539
0.07898,7996,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.98669669562029,-2.53856062312363,0,0.0979354591701878
2e-05,5301,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.57565076098781,-10.8197782844103,0,1.53354652144138e-05
2e-05,5301,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.57565076098781,-10.8197782844103,0,1.44249512801702e-05
2e-05,5301,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.57565076098781,-10.8197782844103,0,1.51178180828027e-05
2e-05,5301,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.57565076098781,-10.8197782844103,0,1.930742745688e-05
2e-05,5301,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.57565076098781,-10.8197782844103,0,1.34771447378659e-05
0.04,35573,2019,0,0,0,1,0,0,0,1,0,0,0,0,1,10.4793422021226,-3.2188758248682,0,0.650708322229747
0.04,33469,2022,0,0,0,0,0,0,1,2,0,0,0,2,4,10.4183749162568,-3.2188758248682,0,0.414931058191905
0.006,33885,2022,0,0,0,0,0,0,1,1,0,0,0,0,1,10.4307277175702,-5.11599580975408,0,0.0633908616108474
0.006,36000,2017,0,1,0,0,0,0,0,1,0,0,0,1,2,10.4912742174382,-5.11599580975408,0,0.0742259705015789
0.006,36000,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.4912742174382,-5.11599580975408,0,0.0777912311291429
0.005,35688,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.4825697768081,-5.29831736654804,0,0.0817289731089247
0.086,19742,2017,0,1,0,0,0,0,0,1,0,0,0,1,2,9.89050362497783,-2.45340798272863,0,0.436315079947816
0.086,19742,2018,0,0,1,0,0,0,0,2,0,0,0,0,2,9.89050362497783,-2.45340798272863,0,0.457272394015098
0.086,19742,2019,0,0,0,1,0,0,0,2,0,0,0,1,3,9.89050362497783,-2.45340798272863,0,0.583996548121156
0.086,19512,2016,1,0,0,0,0,0,0,4,0,1,0,0,5,9.87878493989576,-2.45340798272863,1,0.455860497773977
0.092,17200,2017,0,1,0,0,0,0,0,6,0,0,0,0,6,9.75266466280154,-2.3859667019331,0,0.380429254313115
0.092,17200,2018,0,0,1,0,0,0,0,4,0,0,1,2,7,9.75266466280154,-2.3859667019331,1,0.398702231181059
0.092,17200,2019,0,0,0,1,0,0,0,3,0,0,0,0,3,9.75266466280154,-2.3859667019331,0,0.509194803328219
0.092,17000,2016,1,0,0,0,0,0,0,2,0,0,0,1,3,9.74096862303835,-2.3859667019331,0,0.397484533404689
0.105,21844,2022,0,0,0,0,0,0,1,1,0,0,0,0,1,9.99168156327204,-2.25379492882461,0,0.578319711771556
0.105,22700,2019,0,0,0,1,0,0,0,1,0,0,0,0,1,10.0301202034695,-2.25379492882461,0,0.87712647043932
0.069,22700,2019,0,0,0,1,0,0,0,0,0,1,0,0,1,10.0301202034695,-2.67364877438488,1,0.576397394860124
0.069,16540,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,9.71353696857768,-2.67364877438488,0,0.28622402112799
0.069,16540,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,9.71353696857768,-2.67364877438488,0,0.269230016974316
0.069,16540,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,9.71353696857768,-2.67364877438488,0,0.282161813928813
0.069,22001,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,9.99884318585288,-2.67364877438488,0,0.38409825553756
0.241,22700,2019,0,0,0,1,0,0,0,0,0,1,0,1,2,10.0301202034695,-1.42295834549148,1,2.01321408929406
0.157,22700,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.0301202034695,-1.85150947363383,0,1.3115129129426
