SPFH_LENGTH_MILES_AMT,SPFH_ADT_AMT,CUS_YEAR,CUS_YEAR_2016,CUS_YEAR_2017,CUS_YEAR_2018,CUS_YEAR_2019,CUS_YEAR_2020,CUS_YEAR_2021,CUS_YEAR_2022,SEVERITY_LEVEL_0,SEVERITY_LEVEL_1,SEVERITY_LEVEL_2,SEVERITY_LEVEL_3,SEVERITY_LEVEL_4,CUS_N_COLL,CUS_LOG_ADT,CUS_LOG_LEN,CUS_N_FSV,predictions
0.183,1225,2019,0,0,0,1,0,0,0,0,0,0,1,0,1,7.11069612297883,-1.69826912614072,1,0.081578429046924
0.183,1222,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,7.10824413973154,-1.69826912614072,0,0.059360434575464
0.028,1040,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,6.94697599213542,-3.57555076880693,0,0.0115118850117463
0.028,1040,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,6.94697599213542,-3.57555076880693,0,0.0122231526156267
0.028,1040,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,6.94697599213542,-3.57555076880693,0,0.0095937778461307
0.028,1212,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,7.10002716662926,-3.57555076880693,0,0.0090146852317047
0.318,1038,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,6.94505106372583,-1.14570389620196,0,0.130512480017034
0.318,1038,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,6.94505106372583,-1.14570389620196,0,0.13857625921944
0.318,1038,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,6.94505106372583,-1.14570389620196,0,0.108766525912428
0.318,1210,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,7.09837563859079,-1.14570389620196,0,0.102227021553892
0.683,1185,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,7.07749805356923,-0.381260419411347,0,0.295392100241131
0.683,1180,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,7.07326971745971,-0.381260419411347,0,0.214593542866024
0.093,1148,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,7.04577657687951,-2.37515578582888,0,0.0390746436252631
0.088,1143,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,7.04141166379481,-2.43041846450393,0,0.0368269104444902
0.088,988,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,6.89568269774787,-2.43041846450393,0,0.0345240291636958
0.088,988,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,6.89568269774787,-2.43041846450393,0,0.0366571136650181
0.088,988,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,6.89568269774787,-2.43041846450393,0,0.0287716447664196
0.088,1136,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,7.0352685992811,-2.43041846450393,0,0.0267069108291752
0.16,985,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,6.89264164117209,-1.83258146374831,0,0.0625967786238951
0.16,985,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,6.89264164117209,-1.83258146374831,0,0.0664643520662134
0.16,985,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,6.89264164117209,-1.83258146374831,0,0.0521669203078648
0.16,1138,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,7.03702761468628,-1.83258146374831,0,0.0666907291057493
0.16,1131,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,7.03085747611612,-1.83258146374831,0,0.0483629728110032
0.341,978,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,6.88550967003482,-1.07587280169862,0,0.132542762360787
0.341,978,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,6.88550967003482,-1.07587280169862,0,0.140731983578672
0.341,978,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,6.88550967003482,-1.07587280169862,0,0.110458523161446
0.341,1130,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,7.02997291170639,-1.07587280169862,0,0.141222643327789
0.341,1122,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,7.02286808608264,-1.07587280169862,0,0.102324879962462
0.56,965,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,6.87212810133899,-0.579818495252942,0,0.215019870287399
0.56,965,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,6.87212810133899,-0.579818495252942,0,0.228304981089839
0.56,965,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,6.87212810133899,-0.579818495252942,0,0.179193317683098
0.56,1111,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,7.01301578963963,-0.579818495252942,0,0.22835871776614
0.56,1103,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,7.0057890192535,-0.579818495252942,0,0.165441951718991
0.441,4031,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.30176976311717,-0.818710403535291,0,0.616085585949437
0.441,4031,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.30176976311717,-0.818710403535291,0,0.654150743658744
