SPFH_LENGTH_MILES_AMT,SPFH_ADT_AMT,CUS_YEAR,CUS_YEAR_2016,CUS_YEAR_2017,CUS_YEAR_2018,CUS_YEAR_2019,CUS_YEAR_2020,CUS_YEAR_2021,CUS_YEAR_2022,SEVERITY_LEVEL_0,SEVERITY_LEVEL_1,SEVERITY_LEVEL_2,SEVERITY_LEVEL_3,SEVERITY_LEVEL_4,CUS_N_COLL,CUS_LOG_ADT,CUS_LOG_LEN,CUS_N_FSV,predictions
0.048,7741,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.95428615720471,-3.03655426807425,0,0.074305694674639
0.048,6801,2019,0,0,0,1,0,0,0,0,0,0,0,1,1,8.82482493917564,-3.03655426807425,0,0.0654500298719065
0.048,6995,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.85295088709958,-3.03655426807425,0,0.0599145241508264
0.015,6992,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.85252191733537,-4.19970507787993,0,0.0187166063944972
0.015,6802,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.82497196556714,-4.19970507787993,0,0.0204556265074497
0.015,7736,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.95364003713313,-4.19970507787993,0,0.0232078471946528
0.015,7938,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.97941663334301,-4.19970507787993,0,0.0257180516760302
0.015,7642,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.94141462800684,-4.19970507787993,0,0.0246877429802051
0.012,6992,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.85252191733537,-4.42284862919414,0,0.0149732851155978
0.012,7734,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.95338147216724,-4.42284862919414,0,0.0185622194088925
0.012,7931,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.97853441008332,-4.42284862919414,0,0.0205590355467198
0.019,7631,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.93997417728963,-3.9633162998157,0,0.0312331597972155
0.019,7926,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.97790377375038,-3.9633162998157,0,0.032534383285986
0.019,6802,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.82497196556714,-3.9633162998157,0,0.0259104602427696
0.004,7918,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.97689392766608,-5.52146091786225,0,0.0068434751312951
0.004,6990,2022,0,0,0,0,0,0,1,1,0,0,0,0,1,8.85223583522786,-5.52146091786225,0,0.0049899070486923
0.004,6802,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.82497196556714,-5.52146091786225,0,0.0054548337353199
0.004,7731,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.95299349932047,-5.52146091786225,0,0.0061853773026924
0.004,7623,2016,1,0,0,0,0,0,0,0,0,0,1,0,1,8.93892527198827,-5.52146091786225,1,0.0065695867873603
0.01,7731,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.95299349932047,-4.60517018598809,0,0.0154634432567311
0.01,6803,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.82511897034506,-4.60517018598809,0,0.0136387457808159
0.127,6989,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.85209276347713,-2.06356819252355,0,0.158410689388857
0.127,7617,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.93813787037279,-2.06356819252355,0,0.208445905012664
0.127,7912,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.97613587330255,-2.06356819252355,0,0.217140588596962
0.217,6983,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.85123390284603,-1.52785792544168,0,0.270476885354644
0.217,7857,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.96916013317582,-1.52785792544168,0,0.368831061520595
0.016,7477,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.91958692099992,-4.13516655674236,0,0.0258538504307195
0.016,7763,2017,0,1,0,0,0,0,0,1,0,0,0,0,1,8.95712413640568,-4.13516655674236,0,0.026919144074842
0.016,7696,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.94845599234554,-4.13516655674236,0,0.0246468169434315
0.016,6807,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.82570677344795,-4.13516655674236,0,0.021832626388872
0.016,6971,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.8495139654864,-4.13516655674236,0,0.0199144834187443
0.014,7471,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.9187841379758,-4.26869794936688,0,0.0226068550516853
0.014,7756,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.95622201636254,-4.26869794936688,0,0.0235362832125979
0.014,6970,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.84937050375457,-4.26869794936688,0,0.0174230939038459
0.014,7694,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.94819608331224,-4.26869794936688,0,0.0215612303135086
0.095,6808,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.82585367025321,-2.3538783873816,0,0.129647002613576
0.095,7750,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.95544812234739,-2.3538783873816,0,0.159605987264521
