SPFH_LENGTH_MILES_AMT,SPFH_ADT_AMT,CUS_YEAR,CUS_YEAR_2016,CUS_YEAR_2017,CUS_YEAR_2018,CUS_YEAR_2019,CUS_YEAR_2020,CUS_YEAR_2021,CUS_YEAR_2022,SEVERITY_LEVEL_0,SEVERITY_LEVEL_1,SEVERITY_LEVEL_2,SEVERITY_LEVEL_3,SEVERITY_LEVEL_4,CUS_N_COLL,CUS_LOG_ADT,CUS_LOG_LEN,CUS_N_FSV,predictions
0.053,29041,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.2764639036076,-2.93746336543002,0,0.180541721649101
0.053,29700,2018,0,0,1,0,0,0,0,1,0,0,0,0,1,10.2989023247908,-2.93746336543002,0,0.187322748111348
0.053,38500,2016,1,0,0,0,0,0,0,1,0,0,0,0,1,10.5584135202759,-2.93746336543002,0,0.340629666899188
0.001,38500,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.5584135202759,-6.90775527898214,0,0.0048330624582567
0.001,37000,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.5186731916264,-6.90775527898214,0,0.0051716491357762
0.001,38500,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.5584135202759,-6.90775527898214,0,0.0064269748471545
0.001,29848,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.303873114901,-6.90775527898214,0,0.0035355092022445
0.018,37000,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.5186731916264,-4.01738352108597,0,0.0930896844439724
0.018,38500,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.5584135202759,-4.01738352108597,0,0.0869951242486208
0.002,30138,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.3135421129781,-6.21460809842219,0,0.007164389810188
0.002,37000,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.5186731916264,-6.21460809842219,0,0.0103432982715525
0.002,38500,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.5584135202759,-6.21460809842219,0,0.0096661249165134
0.046,37000,2017,0,1,0,0,0,0,0,2,0,0,0,1,3,10.5186731916264,-3.07911388249304,0,0.237895860245707
0.046,38500,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.5584135202759,-3.07911388249304,0,0.295640842969107
0.046,29700,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.2989023247908,-3.07911388249304,0,0.162582007794755
0.046,30168,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.3145370389382,-3.07911388249304,0,0.165003547449508
0.415,37000,2017,0,1,0,0,0,0,0,2,0,0,0,2,4,10.5186731916264,-0.879476758751439,0,2.14623439134714
0.415,29700,2018,0,0,1,0,0,0,0,1,0,0,4,0,5,10.2989023247908,-0.879476758751439,4,1.46677246162659
0.415,30869,2019,0,0,0,1,0,0,0,7,0,0,0,2,9,10.3375077230616,-0.879476758751439,0,1.5357428636722
0.415,38500,2022,0,0,0,0,0,0,1,3,0,0,0,1,4,10.5584135202759,-0.879476758751439,0,2.00572092017654
0.004,37000,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.5186731916264,-5.52146091786225,0,0.020686596543105
0.004,38500,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.5584135202759,-5.52146091786225,0,0.025707899388618
0.004,29700,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.2989023247908,-5.52146091786225,0,0.0141375658951961
0.004,37192,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.5238489633704,-5.52146091786225,0,0.0190602147747613
0.04899,29700,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.2989023247908,-3.01613908333165,0,0.173149838301414
0.04899,38500,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.5584135202759,-3.01613908333165,0,0.236771729829996
0.04899,37000,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.5186731916264,-3.01613908333165,0,0.253359091161678
0.04899,38500,2016,1,0,0,0,0,0,0,0,0,0,0,2,2,10.5584135202759,-3.01613908333165,0,0.314857497762099
0.04899,37253,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.5254877574775,-3.01613908333165,0,0.233959594944868
1e-05,38000,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.5453414387085,-11.5129254649702,0,4.90604759349591e-05
1e-05,38500,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.5584135202759,-11.5129254649702,0,6.4269748471545e-05
1e-05,29700,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.2989023247908,-11.5129254649702,0,3.53439147379902e-05
0.222,71000,2016,1,0,0,0,0,0,0,0,0,0,0,1,1,11.1704351560235,-1.50507789710986,0,3.27325299528709
0.222,74600,2017,0,1,0,0,0,0,0,0,0,0,0,1,1,11.2198957861919,-1.50507789710986,0,2.97277258843493
0.046,58000,2022,0,0,0,0,0,0,1,2,0,0,0,0,2,10.9681982895286,-3.07911388249304,0,0.387647250905063
0.046,71000,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,11.1704351560235,-3.07911388249304,0,0.678241611636063
0.046,76000,2018,0,0,1,0,0,0,0,1,0,0,0,0,1,11.2384886192685,-3.07911388249304,0,0.581704733701289
0.918,71000,2016,1,0,0,0,0,0,0,3,0,0,0,0,3,11.1704351560235,-0.0855578883616465,0,13.535343466998
0.918,74600,2017,0,1,0,0,0,0,0,2,0,0,1,0,3,11.2198957861919,-0.0855578883616465,1,12.2928163792039
0.918,58000,2022,0,0,0,0,0,0,1,9,0,0,4,3,16,10.9681982895286,-0.0855578883616465,4,7.73609078980104
0.918,75700,2019,0,0,0,1,0,0,0,7,0,0,0,1,8,11.2345334394255,-0.0855578883616465,0,11.4726921793798
0.089,75700,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,11.2345334394255,-2.41911890925,0,1.11227625704227
0.089,58000,2022,0,0,0,0,0,0,1,2,0,0,0,0,2,10.9681982895286,-2.41911890925,0,0.750013159359795
0.089,76000,2018,0,0,1,0,0,0,0,2,0,0,0,0,2,11.2384886192685,-2.41911890925,0,1.12547220216119
0.103,58000,2022,0,0,0,0,0,0,1,1,0,0,0,2,3,10.9681982895286,-2.2730262907525,0,0.867992757461336
0.103,71000,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,11.1704351560235,-2.2730262907525,0,1.51867143475032
0.103,74600,2017,0,1,0,0,0,0,0,1,0,0,0,0,1,11.2198957861919,-2.2730262907525,0,1.37925935409368
0.103,76000,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,11.2384886192685,-2.2730262907525,0,1.30251277328767
0.021,76000,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,11.2384886192685,-3.86323284125871,0,0.265560856689719
0.021,74600,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,11.2198957861919,-3.86323284125871,0,0.281208217824926
0.021,71000,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,11.1704351560235,-3.86323284125871,0,0.309632040094725
0.021,75700,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,11.2345334394255,-3.86323284125871,0,0.262447206717838
0.021,58000,2022,0,0,0,0,0,0,1,1,0,0,0,0,1,10.9681982895286,-3.86323284125871,0,0.176969397152311
0.003,71000,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,11.1704351560235,-5.80914299031403,0,0.0442331485849606
0.003,74600,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,11.2198957861919,-5.80914299031403,0,0.0401726025464179
0.003,76000,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,11.2384886192685,-5.80914299031403,0,0.0379372652413884
0.003,58000,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.9681982895286,-5.80914299031403,0,0.0252813424503302
0.151,74600,2017,0,1,0,0,0,0,0,1,0,0,0,0,1,11.2198957861919,-1.89047544216721,0,2.02202099483637
0.151,76000,2018,0,0,1,0,0,0,0,2,0,1,0,0,3,11.2384886192685,-1.89047544216721,1,1.90950901714988
0.151,58000,2022,0,0,0,0,0,0,1,1,0,0,0,1,2,10.9681982895286,-1.89047544216721,0,1.27249423666662
0.047,63000,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,11.0508900053737,-3.05760767727208,0,0.443099204649946
0.047,66700,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,11.1079602319037,-3.05760767727208,0,0.494697936796211
0.225,63000,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,11.0508900053737,-1.49165487677772,0,2.12121959672847
0.225,67000,2018,0,0,1,0,0,0,0,0,0,1,0,0,1,11.1124478983731,-1.49165487677772,1,2.39806318137576
0.225,58800,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.9818971338867,-1.49165487677772,0,2.18150329047178
0.225,56000,2016,1,0,0,0,0,0,0,1,0,0,0,0,1,10.9331069697173,-1.49165487677772,0,2.40419016171697
0.161,63000,2022,0,0,0,0,0,0,1,0,0,0,0,1,1,11.0508900053737,-1.82635091399767,0,1.51785046699237
0.161,66700,2019,0,0,0,1,0,0,0,1,0,0,0,0,1,11.1079602319037,-1.82635091399767,0,1.69460357072745
0.161,67000,2018,0,0,1,0,0,0,0,1,0,0,1,0,2,11.1124478983731,-1.82635091399767,1,1.71594743200666
0.161,58800,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.9818971338867,-1.82635091399767,0,1.5609867989598
0.595,63000,2022,0,0,0,0,0,0,1,3,0,0,3,1,7,11.0508900053737,-0.519193873436507,3,5.60944737801528
0.595,58800,2017,0,1,0,0,0,0,0,3,0,1,1,0,5,10.9818971338867,-0.519193873436507,2,5.76886425702536
0.595,67000,2018,0,0,1,0,0,0,0,4,0,0,1,0,5,11.1124478983731,-0.519193873436507,1,6.3415448574159
0.016,66700,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,11.1079602319037,-4.13516655674236,0,0.168407808271051
0.016,67000,2018,0,0,1,0,0,0,0,0,0,0,1,0,1,11.1124478983731,-4.13516655674236,1,0.170528937342276
0.016,56000,2016,1,0,0,0,0,0,0,1,0,0,1,0,2,10.9331069697173,-4.13516655674236,1,0.170964633722095
0.147,58800,2017,0,1,0,0,0,0,0,1,0,0,1,1,3,10.9818971338867,-1.9173226922034,1,1.42524881644156
0.147,66700,2019,0,0,0,1,0,0,0,0,0,0,0,1,1,11.1079602319037,-1.9173226922034,0,1.54724673849028
