SPFH_LENGTH_MILES_AMT,SPFH_ADT_AMT,CUS_YEAR,CUS_YEAR_2016,CUS_YEAR_2017,CUS_YEAR_2018,CUS_YEAR_2019,CUS_YEAR_2020,CUS_YEAR_2021,CUS_YEAR_2022,SEVERITY_LEVEL_0,SEVERITY_LEVEL_1,SEVERITY_LEVEL_2,SEVERITY_LEVEL_3,SEVERITY_LEVEL_4,CUS_N_COLL,CUS_LOG_ADT,CUS_LOG_LEN,CUS_N_FSV,predictions
0.038,21031,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,9.95375281868368,-3.27016911925575,0,0.137098743921336
0.038,21200,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,9.9617564606601,-3.27016911925575,0,0.154341358016246
0.038,20900,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,9.9475044379529,-3.27016911925575,0,0.194189683983878
0.581,20900,2016,1,0,0,0,0,0,0,0,0,0,1,1,2,9.9475044379529,-0.543004522130226,1,2.96905806301667
0.581,21700,2017,0,1,0,0,0,0,0,2,0,1,1,1,5,9.98506753952855,-0.543004522130226,2,2.6158528358115
0.581,20900,2018,0,0,1,0,0,0,0,2,0,0,0,0,2,9.9475044379529,-0.543004522130226,0,2.1000566938095
0.581,21200,2019,0,0,0,1,0,0,0,3,0,0,0,0,3,9.9617564606601,-0.543004522130226,0,2.3597981317747
0.581,20953,2022,0,0,0,0,0,0,1,1,0,0,0,0,1,9.95003711318911,-0.543004522130226,0,2.08942446846824
0.086,20900,2016,1,0,0,0,0,0,0,1,1,0,0,0,2,9.9475044379529,-2.45340798272863,1,0.439481916384567
0.086,19767,2022,0,0,0,0,0,0,1,1,0,0,0,0,1,9.89176915958193,-2.45340798272863,0,0.294018637498305
0.086,21200,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,9.9617564606601,-2.45340798272863,0,0.349298862878872
0.086,20900,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,9.9475044379529,-2.45340798272863,0,0.310851765348739
0.008,19592,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,9.882876598632,-4.8283137373023,0,0.0271398787664272
0.008,21200,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,9.9617564606601,-4.8283137373023,0,0.0324929174771043
