SPFH_LENGTH_MILES_AMT,SPFH_ADT_AMT,CUS_YEAR,CUS_YEAR_2016,CUS_YEAR_2017,CUS_YEAR_2018,CUS_YEAR_2019,CUS_YEAR_2020,CUS_YEAR_2021,CUS_YEAR_2022,SEVERITY_LEVEL_0,SEVERITY_LEVEL_1,SEVERITY_LEVEL_2,SEVERITY_LEVEL_3,SEVERITY_LEVEL_4,CUS_N_COLL,CUS_LOG_ADT,CUS_LOG_LEN,CUS_N_FSV,predictions
0.045,9900,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,9.20029003612268,-3.10109278921182,0,0.0475338721233589
0.045,9900,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,9.20029003612268,-3.10109278921182,0,0.0512474753903188
0.045,9900,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,9.20029003612268,-3.10109278921182,0,0.0455789319932946
0.045,9900,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,9.20029003612268,-3.10109278921182,0,0.0445636227787644
0.045,8800,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,9.0825070004663,-3.10109278921182,0,0.0357326673758437
0.633,45000,2016,1,0,0,0,0,0,0,3,0,0,0,0,3,10.7144177687525,-0.457284856837961,0,5.17722713767741
0.633,41700,2018,0,0,1,0,0,0,0,0,0,0,0,1,1,10.6382564077869,-0.457284856837961,0,4.47863763892578
0.633,38000,2022,0,0,0,0,0,0,1,3,0,0,0,0,3,10.5453414387085,-0.457284856837961,0,3.63116996076836
0.017,42600,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.6596095322575,-4.07454193492592,0,0.139198739065264
0.017,41700,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.6382564077869,-4.07454193492592,0,0.120279367870045
0.017,41000,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.6213273456864,-4.07454193492592,0,0.114939391640137
0.039,41000,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.6213273456864,-3.24419363285249,0,0.263684486703845
0.039,41700,2018,0,0,1,0,0,0,0,0,0,0,1,0,1,10.6382564077869,-3.24419363285249,1,0.275935020407749
0.039,42600,2017,0,1,0,0,0,0,0,0,1,0,0,0,1,10.6596095322575,-3.24419363285249,1,0.319338283737959
0.017,41000,2019,0,0,0,1,0,0,0,1,0,0,0,0,1,10.6213273456864,-4.07454193492592,0,0.114939391640137
0.017,38000,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.5453414387085,-4.07454193492592,0,0.0975195724061014
0.932,41700,2018,0,0,1,0,0,0,0,1,0,0,0,1,2,10.6382564077869,-0.0704224642965458,0,6.59413946205185
0.932,38000,2022,0,0,0,0,0,0,1,3,0,0,0,0,3,10.5453414387085,-0.0704224642965458,0,5.34636714602862
0.539,45000,2017,0,1,0,0,0,0,0,1,0,0,0,2,3,10.7144177687525,-0.61803970807314,0,4.75282207173211
0.539,45000,2018,0,0,1,0,0,0,0,2,0,0,0,0,2,10.7144177687525,-0.61803970807314,0,4.22710684445991
0.539,41000,2022,0,0,0,0,0,0,1,5,0,0,0,0,5,10.6213273456864,-0.61803970807314,0,3.42642217742438
0.008,41000,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.6213273456864,-4.8283137373023,0,0.0508559877910854
0.008,45200,2019,0,0,0,1,0,0,0,0,0,0,0,1,1,10.7188523658203,-4.8283137373023,0,0.0617112327514886
0.008,49500,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.8097279485568,-4.8283137373023,0,0.0744281949061812
0.139,49500,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.8097279485568,-1.97328134585145,0,1.2931898864949
0.139,41000,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.6213273456864,-1.97328134585145,0,0.883622787870109
0.007,49500,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.8097279485568,-4.96184512992682,0,0.0651246705429086
0.007,46309,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.7430916056334,-4.96184512992682,0,0.0557959231431059
1.057,49500,2016,1,0,0,0,0,0,0,7,0,0,0,1,8,10.8097279485568,0.0554347068881005,0,9.83382525197919
1.057,41000,2022,0,0,0,0,0,0,1,8,0,0,1,1,10,10.6213273456864,0.0554347068881005,1,6.71934738689716
1.057,46365,2019,0,0,0,1,0,0,0,2,0,0,1,0,3,10.7443001432343,0.0554347068881005,1,8.43895971925697
0.477,48000,2017,0,1,0,0,0,0,0,6,0,0,2,0,8,10.77895628989,-0.740238788093796,2,4.58954850658571
0.477,42500,2022,0,0,0,0,0,0,1,1,0,0,0,0,1,10.6572593549125,-0.740238788093796,0,3.18320920861433
0.477,48200,2019,0,0,0,1,0,0,0,0,0,0,0,1,1,10.7831143000387,-0.740238788093796,0,4.01346085681286
0.477,49000,2018,0,0,1,0,0,0,0,3,0,0,0,1,4,10.7995755770928,-0.740238788093796,0,4.19726752167468
0.06,42500,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.6572593549125,-2.81341071676004,0,0.400403674039538
0.06,48200,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.7831143000387,-2.81341071676004,0,0.504837843624259
0.06,48000,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.77895628989,-2.81341071676004,0,0.577301698941598
0.054,42500,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.6572593549125,-2.91877123241786,0,0.360363306635585
0.054,50000,2016,1,0,0,0,0,0,0,1,0,0,0,0,1,10.8197782844103,-2.91877123241786,0,0.509262309674548
0.04,20400,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,9.92329017983231,-3.2188758248682,0,0.105264396529502
0.04,16700,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,9.72316399840485,-3.2188758248682,0,0.0821441372357657
0.04,23200,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.0519075576544,-3.2188758248682,0,0.117766392441393
0.794,38000,2016,1,0,0,0,0,0,0,6,0,1,0,1,8,10.5453414387085,-0.230671817735001,1,5.16718414716376
0.794,38000,2017,0,1,0,0,0,0,0,7,0,0,0,0,7,10.5453414387085,-0.230671817735001,0,5.57087252921039
0.794,38000,2018,0,0,1,0,0,0,0,2,1,0,0,1,4,10.5453414387085,-0.230671817735001,1,4.95467178077148
0.794,38000,2019,0,0,0,1,0,0,0,2,0,1,0,0,3,10.5453414387085,-0.230671817735001,1,4.84430228122441
0.794,38000,2022,0,0,0,0,0,0,1,3,0,0,0,0,3,10.5453414387085,-0.230671817735001,0,4.5547376759085
0.008,34354,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.444473739197,-4.8283137373023,0,0.0454262373889384
0.008,34354,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.444473739197,-4.8283137373023,0,0.048975180827324
0.008,34354,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.444473739197,-4.8283137373023,0,0.0435579785986803
0.008,34354,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.444473739197,-4.8283137373023,0,0.0425876878282855
0.008,34354,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.444473739197,-4.8283137373023,0,0.0400420401165168
0.004,34344,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.4441826099044,-5.52146091786225,0,0.022704181840027
0.004,34344,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.4441826099044,-5.52146091786225,0,0.0244779553637989
0.004,34344,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.4441826099044,-5.52146091786225,0,0.0217704199936502
0.004,34344,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.4441826099044,-5.52146091786225,0,0.0212854654969762
0.004,34344,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.4441826099044,-5.52146091786225,0,0.0200131424548147
0.189,33946,2016,1,0,0,0,0,0,0,1,0,0,0,0,1,10.4325263057215,-1.6660082639225,0,1.05600159231335
0.189,33946,2017,0,1,0,0,0,0,0,1,0,0,1,0,2,10.4325263057215,-1.6660082639225,1,1.13850215008303
0.189,33946,2018,0,0,1,0,0,0,0,1,0,0,1,0,2,10.4325263057215,-1.6660082639225,1,1.0125710911148
0.189,33946,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,10.4325263057215,-1.6660082639225,0,0.99001521465576
0.189,33946,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.4325263057215,-1.6660082639225,0,0.930837783470338
0.289,32931,2016,1,0,0,0,0,0,0,3,0,0,0,0,3,10.4021697423554,-1.2413285908697,0,1.54981231158954
0.289,32931,2017,0,1,0,0,0,0,0,0,0,0,1,0,1,10.4021697423554,-1.2413285908697,1,1.67089203445658
0.289,32931,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.4021697423554,-1.2413285908697,0,1.48607270556436
0.289,32931,2019,0,0,0,1,0,0,0,0,0,0,1,0,1,10.4021697423554,-1.2413285908697,1,1.45296918063659
0.289,32931,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.4021697423554,-1.2413285908697,0,1.36611901669082
0.012,31180,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,10.3475321426118,-4.42284862919414,0,0.0597704154949242
