SPFH_LENGTH_MILES_AMT,SPFH_ADT_AMT,CUS_YEAR,CUS_YEAR_2016,CUS_YEAR_2017,CUS_YEAR_2018,CUS_YEAR_2019,CUS_YEAR_2020,CUS_YEAR_2021,CUS_YEAR_2022,SEVERITY_LEVEL_0,SEVERITY_LEVEL_1,SEVERITY_LEVEL_2,SEVERITY_LEVEL_3,SEVERITY_LEVEL_4,CUS_N_COLL,CUS_LOG_ADT,CUS_LOG_LEN,CUS_N_FSV,predictions
0.533,60000.0,2016,1,0,0,0,0,0,0,5,0,0,0,3,8,11.0020998412042,-0.629233854816292,0,5.51956691537245
0.533,70788.0,2018,0,0,1,0,0,0,0,3,0,0,1,2,6,11.1674447737911,-0.629233854816292,1,6.71024937261214
0.533,56800.0,2019,0,0,0,1,0,0,0,2,0,3,0,0,5,10.9472916047092,-0.629233854816292,3,5.62392669141504
0.533,59000.0,2022,0,0,0,0,0,0,1,2,0,0,0,0,2,10.9852927228879,-0.629233854816292,0,5.24589259245459
0.121,56800.0,2019,0,0,0,1,0,0,0,2,0,0,0,0,2,10.9472916047092,-2.1119647333854,0,1.27672632206608
0.121,70767.0,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,11.1671480693277,-2.1119647333854,0,1.52275995503861
0.121,67400.0,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,11.1184002969004,-2.1119647333854,0,1.39662832360995
0.121,60000.0,2016,1,0,0,0,0,0,0,0,0,1,0,0,1,11.0020998412042,-2.1119647333854,1,1.25303489073183
0.121,59000.0,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.9852927228879,-2.1119647333854,0,1.19090619828707
0.435,67400.0,2017,0,1,0,0,0,0,0,3,0,0,0,0,3,11.1184002969004,-0.832409247893453,0,5.02093653529197
0.435,60000.0,2016,1,0,0,0,0,0,0,1,0,0,0,0,1,11.0020998412042,-0.832409247893453,0,4.5047122104822
0.435,59000.0,2022,0,0,0,0,0,0,1,2,0,0,2,1,5,10.9852927228879,-0.832409247893453,2,4.28135699384193
0.3,60000.0,2016,1,0,0,0,0,0,0,3,0,0,0,0,3,11.0020998412042,-1.20397280432594,0,3.10669807619462
0.3,67400.0,2017,0,1,0,0,0,0,0,5,0,0,3,0,8,11.1184002969004,-1.20397280432594,3,3.4627148519255
0.3,56800.0,2019,0,0,0,1,0,0,0,1,1,0,0,0,2,10.9472916047092,-1.20397280432594,1,3.1654371621473
0.3,59000.0,2022,0,0,0,0,0,0,1,2,0,0,1,1,4,10.9852927228879,-1.20397280432594,1,2.95265999575305
0.226,67400.0,2017,0,1,0,0,0,0,0,3,0,0,1,3,7,11.1184002969004,-1.48722027970985,1,2.60857852178387
0.226,70735.0,2018,0,0,1,0,0,0,0,0,0,1,0,0,1,11.166695778893,-1.48722027970985,1,2.84251298516306
0.077,60000.0,2016,1,0,0,0,0,0,0,0,0,0,1,0,1,11.0020998412042,-2.56394985712845,1,0.79738583955662
0.077,59000.0,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.9852927228879,-2.56394985712845,0,0.757849398909951
0.077,67400.0,2017,0,1,0,0,0,0,0,3,0,0,0,0,3,11.1184002969004,-2.56394985712845,0,0.888763478660878
0.606,59000.0,2022,0,0,0,0,0,0,1,0,0,0,3,1,4,10.9852927228879,-0.500875292912823,3,5.96437319142117
0.606,67400.0,2017,0,1,0,0,0,0,0,11,0,0,1,1,13,11.1184002969004,-0.500875292912823,1,6.9946840008895
0.606,60000.0,2016,1,0,0,0,0,0,0,14,0,0,1,3,18,11.0020998412042,-0.500875292912823,1,6.27553011391314
1.118,40000.0,2016,1,0,0,0,0,0,0,5,0,0,0,0,5,10.5966347330961,0.111541374732908,0,7.28302304911462
1.118,43500.0,2019,0,0,0,1,0,0,0,2,0,0,4,0,6,10.6805162170768,0.111541374732908,4,8.68767679094335
0.111,40000.0,2016,1,0,0,0,0,0,0,1,0,0,0,0,1,10.5966347330961,-2.1982250776698,0,0.723090839402257
0.111,43500.0,2019,0,0,0,1,0,0,0,1,0,0,0,0,1,10.6805162170768,-2.1982250776698,0,0.862551094628544
0.111,43000.0,2022,0,0,0,0,0,0,1,1,0,0,0,0,1,10.6689553946757,-2.1982250776698,0,0.758984913137969
0.628,42500.0,2019,0,0,0,1,0,0,0,1,0,0,0,0,1,10.6572593549125,-0.465215112513938,0,4.75655447097619
0.628,39500.0,2016,1,0,0,0,0,0,0,3,0,0,0,1,4,10.5840559508892,-0.465215112513938,0,4.03576828921366
0.628,40500.0,2017,0,1,0,0,0,0,0,2,0,0,0,0,2,10.6090572530946,-0.465215112513938,0,4.00250876946893
0.628,42000.0,2022,0,0,0,0,0,0,1,1,0,0,0,1,2,10.6454248972655,-0.465215112513938,0,4.1844967889957
1.232,43000.0,2019,0,0,0,1,0,0,0,4,0,0,0,3,7,10.6689553946757,0.208638865111328,0,9.45218364702777
1.232,42000.0,2022,0,0,0,0,0,0,1,5,1,1,4,0,11,10.6454248972655,0.208638865111328,6,8.20907650325272
0.124,41000.0,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.6213273456864,-2.0874737133771,0,0.800917143691626
0.124,41000.0,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,10.6213273456864,-2.0874737133771,0,0.820736850326877
0.124,40000.0,2016,1,0,0,0,0,0,0,1,0,0,0,0,1,10.5966347330961,-2.0874737133771,0,0.807777153926845
0.124,43000.0,2019,0,0,0,1,0,0,0,0,0,1,0,0,1,10.6689553946757,-2.0874737133771,1,0.951356146291756
0.124,42000.0,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.6454248972655,-2.0874737133771,0,0.826238219483228
0.289,21400.0,2016,1,0,0,0,0,0,0,0,0,0,0,1,1,9.97114620100994,-1.2413285908697,0,0.997693547676068
0.289,22200.0,2017,0,1,0,0,0,0,0,1,0,0,1,0,2,10.0078475678604,-1.2413285908697,1,0.997715107916487
0.289,21300.0,2018,0,0,1,0,0,0,0,1,0,0,0,0,1,9.96646235169752,-1.2413285908697,0,0.982460539893512
0.289,22500.0,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,10.0212705881925,-1.2413285908697,0,1.01562210982022
0.011,21400.0,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,9.97114620100994,-4.50986000618377,0,0.0379744948942448
0.011,22200.0,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,10.0078475678604,-4.50986000618377,0,0.0379753155262331
