SPFH_LENGTH_MILES_AMT,SPFH_ADT_AMT,CUS_YEAR,CUS_YEAR_2016,CUS_YEAR_2017,CUS_YEAR_2018,CUS_YEAR_2019,CUS_YEAR_2020,CUS_YEAR_2021,CUS_YEAR_2022,SEVERITY_LEVEL_0,SEVERITY_LEVEL_1,SEVERITY_LEVEL_2,SEVERITY_LEVEL_3,SEVERITY_LEVEL_4,CUS_N_COLL,CUS_LOG_ADT,CUS_LOG_LEN,CUS_N_FSV,predictions
0.155,110000,2018,0,0,1,0,0,0,0,1,0,1,1,1,4,11.6082356447746,-1.86433016206289,2,3.65168501726398
0.155,109500,2019,0,0,0,1,0,0,0,4,0,1,0,1,6,11.6036798282387,-1.86433016206289,1,3.90131138547616
0.155,83597,2017,0,1,0,0,0,0,0,4,0,0,1,2,7,11.3337629132614,-1.86433016206289,1,2.76995287383849
0.03,82658,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,11.3224668922734,-3.50655789731998,0,0.529754664071778
0.03,117000,2022,0,0,0,0,0,0,1,1,0,0,0,0,1,11.6699292137799,-3.50655789731998,0,0.653086919263024
0.059,117000,2022,0,0,0,0,0,0,1,1,0,0,0,0,1,11.6699292137799,-2.83021783507642,0,1.28440427455061
0.059,109500,2019,0,0,0,1,0,0,0,1,0,0,0,0,1,11.6036798282387,-2.83021783507642,0,1.48501530156834
0.002,110000,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,11.6082356447746,-6.21460809842219,0,0.0471185163517934
0.002,109500,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,11.6036798282387,-6.21460809842219,0,0.0503395017480794
0.002,117000,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,11.6699292137799,-6.21460809842219,0,0.0435391279508683
0.012,82107,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,11.3157785536817,-4.42284862919414,0,0.210408599842643
0.012,110000,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,11.6082356447746,-4.42284862919414,0,0.28271109811076
0.105,110000,2018,0,0,1,0,0,0,0,1,0,0,0,0,1,11.6082356447746,-2.25379492882461,0,2.47372210846915
0.105,117000,2022,0,0,0,0,0,0,1,0,0,0,0,1,1,11.6699292137799,-2.25379492882461,0,2.28580421742058
0.105,109500,2019,0,0,0,1,0,0,0,0,0,0,0,1,1,11.6036798282387,-2.25379492882461,0,2.64282384177417
0.155,117000,2022,0,0,0,0,0,0,1,2,0,0,0,0,2,11.6699292137799,-1.86433016206289,0,3.37428241619229
0.155,109500,2019,0,0,0,1,0,0,0,0,0,0,0,1,1,11.6036798282387,-1.86433016206289,0,3.90131138547616
0.155,110000,2018,0,0,1,0,0,0,0,2,0,0,0,0,2,11.6082356447746,-1.86433016206289,0,3.65168501726398
0.039,109500,2019,0,0,0,1,0,0,0,2,0,0,0,0,2,11.6036798282387,-3.24419363285249,0,0.981620284087549
0.039,110000,2018,0,0,1,0,0,0,0,0,0,0,0,2,2,11.6082356447746,-3.24419363285249,0,0.91881106885997
0.022,91000,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,11.418614785499,-3.81671282562382,0,0.424140888285577
0.022,90600,2019,0,0,0,1,0,0,0,1,0,0,0,0,1,11.4142094920311,-3.81671282562382,0,0.453206956596992
0.022,80225,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,11.2925904659781,-3.81671282562382,0,0.376406331846355
0.022,98000,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,11.4927227576527,-3.81671282562382,0,0.397099162560626
0.737,98000,2022,0,0,0,0,0,0,1,15,0,0,3,5,23,11.4927227576527,-0.3051673867928,3,13.302821945781
0.737,80091,2017,0,1,0,0,0,0,0,6,1,1,3,4,15,11.2909187671931,-0.3051673867928,5,12.5873434194913
