SPFH_LENGTH_MILES_AMT,SPFH_ADT_AMT,CUS_YEAR,CUS_YEAR_2016,CUS_YEAR_2017,CUS_YEAR_2018,CUS_YEAR_2019,CUS_YEAR_2020,CUS_YEAR_2021,CUS_YEAR_2022,SEVERITY_LEVEL_0,SEVERITY_LEVEL_1,SEVERITY_LEVEL_2,SEVERITY_LEVEL_3,SEVERITY_LEVEL_4,CUS_N_COLL,CUS_LOG_ADT,CUS_LOG_LEN,CUS_N_FSV,predictions
0.214,3900,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.26873183211774,-1.54177926396029,0,0.275152038837585
0.108,3900,2022,0,0,0,0,0,0,1,0,0,0,1,0,1,8.26873183211774,-2.22562405185792,1,0.138861776609622
0.165,4400,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.38935981990635,-1.80180980508156,0,0.315766222783267
0.165,4400,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.38935981990635,-1.80180980508156,0,0.275224805494707
0.165,4400,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.38935981990635,-1.80180980508156,0,0.275717555749672
0.165,4400,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.38935981990635,-1.80180980508156,0,0.241225532307046
0.165,3900,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.26873183211774,-1.80180980508156,0,0.212149936486923
0.636,3900,2022,0,0,0,0,0,0,1,1,0,0,0,0,1,8.26873183211774,-0.452556715642015,0,0.817741573367776
0.636,4400,2016,1,0,0,0,0,0,0,4,0,1,0,1,6,8.38935981990635,-0.452556715642015,1,1.21713525872823
0.636,4400,2017,0,1,0,0,0,0,0,2,0,1,1,0,4,8.38935981990635,-0.452556715642015,2,1.06086652299778
0.636,4400,2018,0,0,1,0,0,0,0,2,0,0,0,1,3,8.38935981990635,-0.452556715642015,0,1.06276585125328
0.636,4400,2019,0,0,0,1,0,0,0,2,0,0,1,1,4,8.38935981990635,-0.452556715642015,1,0.929814779074433
0.473,4400,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.38935981990635,-0.748659890490204,0,0.905196505312032
0.473,4400,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.38935981990635,-0.748659890490204,0,0.788977775751494
0.473,4400,2018,0,0,1,0,0,0,0,2,0,0,0,0,2,8.38935981990635,-0.748659890490204,0,0.790390326482394
0.473,4400,2019,0,0,0,1,0,0,0,1,0,0,0,2,3,8.38935981990635,-0.748659890490204,0,0.691513192613533
1.269,4400,2016,1,0,0,0,0,0,0,0,0,0,1,0,1,8.38935981990635,0.238229188732251,1,2.42852931340585
1.269,4400,2017,0,1,0,0,0,0,0,1,0,0,1,0,2,8.38935981990635,0.238229188732251,1,2.11672895862293
1.269,4400,2018,0,0,1,0,0,0,0,0,0,1,0,0,1,8.38935981990635,0.238229188732251,1,2.12051865603839
1.269,4400,2019,0,0,0,1,0,0,0,2,0,0,0,0,2,8.38935981990635,0.238229188732251,0,1.85524363937965
1.269,3900,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.26873183211774,0.238229188732251,0,1.63162587516306
1.14,3900,2022,0,0,0,0,0,0,1,1,0,0,0,2,3,8.26873183211774,0.131028262406404,0,1.46576319754601
0.125,4400,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.38935981990635,-2.07944154167984,0,0.239216835441869
0.125,4400,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.38935981990635,-2.07944154167984,0,0.208503640526293
0.125,4400,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.38935981990635,-2.07944154167984,0,0.208876936173994
0.125,4400,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.38935981990635,-2.07944154167984,0,0.182746615384126
0.927,4400,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.38935981990635,-0.0758017134162818,0,1.7740320516369
0.927,4400,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.38935981990635,-0.0758017134162818,0,1.54626299814299
0.927,4400,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.38935981990635,-0.0758017134162818,0,1.54903135866634
0.927,4400,2019,0,0,0,1,0,0,0,1,0,0,1,0,2,8.38935981990635,-0.0758017134162818,1,1.35524889968868
0.035,540,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,6.29156913955832,-3.35240721749272,0,0.0087948358976236
0.052,610,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,6.41345895716736,-2.95651156040071,0,0.0193890991165796
0.052,610,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,6.41345895716736,-2.95651156040071,0,0.0168997208949133
0.052,610,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,6.41345895716736,-2.95651156040071,0,0.0169299774038236
0.052,610,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,6.41345895716736,-2.95651156040071,0,0.0148120521382088
0.052,540,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,6.29156913955832,-2.95651156040071,0,0.0130666133336122
0.01,610,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,6.41345895716736,-4.60517018598809,0,0.0037286729070345
0.01,610,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,6.41345895716736,-4.60517018598809,0,0.0032499463259448
0.01,610,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,6.41345895716736,-4.60517018598809,0,0.0032557648853507
0.01,610,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,6.41345895716736,-4.60517018598809,0,0.0028484715650401
0.01,540,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,6.29156913955832,-4.60517018598809,0,0.0025128102564638
0.01,610,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,6.41345895716736,-4.60517018598809,0,0.0037286729070345
0.01,610,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,6.41345895716736,-4.60517018598809,0,0.0032499463259448
0.01,610,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,6.41345895716736,-4.60517018598809,0,0.0032557648853507
0.01,610,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,6.41345895716736,-4.60517018598809,0,0.0028484715650401
0.01,540,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,6.29156913955832,-4.60517018598809,0,0.0025128102564638
0.01799,610,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,6.41345895716736,-4.0179392310197,0,0.0067078825597551
0.01799,610,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,6.41345895716736,-4.0179392310197,0,0.0058466534403748
0.01799,610,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,6.41345895716736,-4.0179392310197,0,0.0058571210287459
0.01799,610,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,6.41345895716736,-4.0179392310197,0,0.0051244003455072
0.01799,540,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,6.29156913955832,-4.0179392310197,0,0.0045205456513785
0.229,7422,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.91220384162054,-1.4740332754279,0,0.512562042947566
0.31,9558,2018,0,0,1,0,0,0,0,1,0,1,0,0,2,9.1651337791381,-1.17118298150295,1,1.0194164292698
0.31,8400,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,9.0359869848314,-1.17118298150295,0,0.906559382175226
0.31,8480,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,9.04546572878595,-1.17118298150295,0,1.04890618528203
0.31,8608,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,9.06044728240156,-1.17118298150295,0,0.812061772611766
0.008,8494,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,9.04711531087322,-4.8283137373023,0,0.0271083201792281
0.008,9767,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,9.18676463544748,-4.8283137373023,0,0.0268254084692252
0.008,8400,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,9.0359869848314,-4.8283137373023,0,0.0233950808303284
0.033,7486,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.92078988846438,-3.41124771751566,0,0.0744230384832801
0.033,8495,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,9.04723303410603,-3.41124771751566,0,0.111833539505147
0.014,8496,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,9.04735074348172,-4.26869794936688,0,0.0474495034976125
0.014,9794,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,9.18952523226226,-4.26869794936688,0,0.0470615524901394
0.014,8682,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,9.06900719585954,-4.26869794936688,0,0.0369547206003861
0.009,7492,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.92159106356398,-4.71053070164592,0,0.0203115177374914
