SPFH_LENGTH_MILES_AMT,SPFH_ADT_AMT,CUS_YEAR,CUS_YEAR_2016,CUS_YEAR_2017,CUS_YEAR_2018,CUS_YEAR_2019,CUS_YEAR_2020,CUS_YEAR_2021,CUS_YEAR_2022,SEVERITY_LEVEL_0,SEVERITY_LEVEL_1,SEVERITY_LEVEL_2,SEVERITY_LEVEL_3,SEVERITY_LEVEL_4,CUS_N_COLL,CUS_LOG_ADT,CUS_LOG_LEN,CUS_N_FSV,predictions
0.112,21963,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,9.99711449831475,-2.18925640768704,0,1.16886126994288
0.112,21963,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,9.99711449831475,-2.18925640768704,0,1.14992566332036
0.112,21963,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99711449831475,-2.18925640768704,0,1.07790941771205
0.112,21963,2019,0,0,0,1,0,0,0,1,0,0,0,1,2,9.99711449831475,-2.18925640768704,0,1.11696738415647
0.112,20549,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,9.93056755693987,-2.18925640768704,0,0.799850331017945
0.072,3900,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.26873183211774,-2.63108915996608,0,0.109641405041612
1.201,3900,2022,0,0,0,0,0,0,1,2,0,0,0,0,2,8.26873183211774,0.183154543097847,0,1.82887954798578
1.201,4400,2016,1,0,0,0,0,0,0,1,0,0,3,0,4,8.38935981990635,0.183154543097847,3,2.8104800221455
1.201,4400,2017,0,1,0,0,0,0,0,1,0,0,0,1,2,8.38935981990635,0.183154543097847,0,2.764950115827
1.201,4400,2018,0,0,1,0,0,0,0,1,0,0,1,0,2,8.38935981990635,0.183154543097847,1,2.59178994296751
1.201,4400,2019,0,0,0,1,0,0,0,5,0,0,0,0,5,8.38935981990635,0.183154543097847,0,2.68570325605302
0.095,3900,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.26873183211774,-2.3538783873816,0,0.144665742763238
0.095,4400,2016,1,0,0,0,0,0,0,0,0,0,0,1,1,8.38935981990635,-2.3538783873816,0,0.222311075856638
0.095,4400,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.38935981990635,-2.3538783873816,0,0.218709626147848
0.095,4400,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.38935981990635,-2.3538783873816,0,0.205012526712667
0.095,4400,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.38935981990635,-2.3538783873816,0,0.212441140154069
0.198,610,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,6.41345895716736,-1.6194882482876,0,0.0737761176711688
0.198,610,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,6.41345895716736,-1.6194882482876,0,0.0725809411534057
0.198,610,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,6.41345895716736,-1.6194882482876,0,0.0680354239505866
0.198,610,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,6.41345895716736,-1.6194882482876,0,0.0705006824055449
0.198,540,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,6.29156913955832,-1.6194882482876,0,0.0479524494328967
0.281,540,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,6.29156913955832,-1.26940060964839,0,0.0680537287406261
0.281,610,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,6.41345895716736,-1.26940060964839,0,0.104702470028275
0.281,610,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,6.41345895716736,-1.26940060964839,0,0.103006285172258
0.281,610,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,6.41345895716736,-1.26940060964839,0,0.0965553238894689
0.281,610,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,6.41345895716736,-1.26940060964839,0,0.100053998767465
0.012,610,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,6.41345895716736,-4.42284862919414,0,0.0044712798588587
0.012,610,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,6.41345895716736,-4.42284862919414,0,0.0043988449183882
0.012,610,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,6.41345895716736,-4.42284862919414,0,0.0041233590273082
0.012,610,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,6.41345895716736,-4.42284862919414,0,0.004272768630639
0.012,540,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,6.29156913955832,-4.42284862919414,0,0.0029062090565391
0.189,610,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,6.41345895716736,-1.6660082639225,0,0.0704226577770248
0.189,610,2017,0,1,0,0,0,0,0,0,0,0,1,0,1,6.41345895716736,-1.6660082639225,1,0.0692818074646146
0.189,610,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,6.41345895716736,-1.6660082639225,0,0.0649429046801054
0.189,610,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,6.41345895716736,-1.6660082639225,0,0.0672961059325656
0.189,540,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,6.29156913955832,-1.6660082639225,0,0.0457727926404923
0.39,6254,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.74097653801779,-0.941608539858445,0,1.16714617308874
0.05,9018,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,9.10697785898103,-2.99573227355399,0,0.166014474972998
0.05,5655,2018,0,0,1,0,0,0,0,1,0,0,0,0,1,8.64029538855022,-2.99573227355399,0,0.136260375311381
0.05,10918,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,9.2981680823417,-2.99573227355399,0,0.260325150173791
0.044,9450,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,9.15377002048779,-3.12356564506388,0,0.209606481117665
0.044,9400,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,9.1484649682581,-3.12356564506388,0,0.205196055321517
0.044,9900,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,9.20029003612268,-3.12356564506388,0,0.201842012695417
0.044,10200,2019,0,0,0,1,0,0,0,1,0,0,0,0,1,9.23014299927236,-3.12356564506388,0,0.215043442932062
0.044,9400,2022,0,0,0,0,0,0,1,1,0,0,0,0,1,9.1484649682581,-3.12356564506388,0,0.151839093834799
