CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
92048890,2023,2023-04-19,9720,2023-04-08,"810 ",022879,,6,1,9,4400,0,3,5,,2,200,"LOMA PRIETA WAY","SUMMIT RD.",1742.00,S,N,A,-,N,,,,,,,,,,Y,3,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,D,D,0,,,,,Y,,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",37.098888397216797,-121.85163879394531,"SANTA CRUZ",UNINCORPORATED,-121.85115814208984,37.0987548828125
92108273,2023,2023-07-03,9720,2023-06-19,1328,015170,,1,1,9,4400,0,1,3,,1,017,SR-17,"CRESCENT DR",50.00,S,N,A,-,Y,SCR,,17," "," ",6.734,H,,R,N,4,0,1,2,A,-,07,21658,A,N,B,C,A,A,H,-,A,D,0,,,,,Y,,A,08,0,0,1,0,0,0,0,0,0,"- ","- ",37.073780059814453,-121.98922729492188,"SANTA CRUZ",UNINCORPORATED,-121.98918914794922,37.073753356933594
92007280,2023,2023-03-01,9720,2023-01-25,1700,022044,,3,2,9,4400,0,1,3,,1,017,"SR-17 S/B","SUMMIT RD.",800.00,S,N,A,-,Y,SCR,,17," "," ",12.474,H,,L,Y,3,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",37.142910003662109,-121.98509979248047,"SANTA CRUZ",UNINCORPORATED,-121.98515319824219,37.142917633056641
92080169,2023,2023-05-29,9720,2023-05-24,1050,021717,,3,1,9,4400,0,2,4,,1,021,"SOQUEL DR","CHANTICLEER AVE",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,09,21802,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",36.988498687744141,-121.97796630859375,"SANTA CRUZ",UNINCORPORATED,-121.97798919677734,36.988506317138672
92114877,2023,2023-07-12,9720,2023-06-29,1013,023103,,4,1,9,4400,0,2,4,,1,022,"SOQUEL SAN JOSE ROAD","SUNDANCE HILL",1056.00,S,N,A,-,N,,,,,,,,,,Y,4,0,2,2,A,-,08,22107,,N,A,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",37.037551879882812,-121.94461822509766,"SANTA CRUZ",UNINCORPORATED,-121.94463348388672,37.037757873535156
92135072,2023,2023-08-03,9720,2023-07-23,"910 ",021714,,7,1,9,4400,0,2,4,,1,024,"E. CLIFF DR.","BLACKPOINT LN.",10.00,W,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,21,22106,,F,H,B,F,A,H,-,A,D,0,Y,Y,,,Y,,M,91,0,1,0,0,1,0,0,0,0,"- ","- ",36.963260650634766,-121.99011993408203,"SANTA CRUZ",UNINCORPORATED,-121.9901123046875,36.963287353515625
92274383,2023,2023-12-29,9720,2023-12-20,1730,023447,,3,2,9,4400,0,1,3,,1,035,SR-129,"BLACKBURN ST",600.00,E,N,B,-,Y,SCR,,129," "," ",0.635,H,,R,N,3,0,2,2,A,-,03,22350,,N,C,C,A,B,H,-,C,D,0,,,,Y,Y,,F,26,0,2,0,0,0,0,0,0,0,"- ","- ",36.912891387939453,-121.74420166015625,"SANTA CRUZ",UNINCORPORATED,-121.74418640136719,36.912868499755859
91979860,2023,2023-01-26,9720,2023-01-19,"937 ",021304,,4,1,9,4400,0,3,5,,2,200,"EATON ST","LAKE AVE",50.00,S,N,A,-,N,,,,,,,,,,Y,4,0,2,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",36.967941284179688,-122.00102996826172,"SANTA CRUZ",UNINCORPORATED,-122.00118255615234,36.967910766601562
92005625,2023,2023-03-01,9720,2023-02-21,"130 ",023146,,2,3,9,4400,0,1,3,,1,012,SR-236,"FIRST ST",49.00,N,N,A,-,Y,SCR,,236," "," ",1.153,H,,R,Y,3,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",37.133819580078125,-122.13931274414062,"SANTA CRUZ",UNINCORPORATED,-122.13925933837891,37.133876800537109
92058914,2023,2023-05-02,9720,2023-04-24,1715,022901,,1,2,9,4400,0,1,3,,2,020,"SR-1 S/B","41ST AVENUE",2112.00,N,N,A,-,Y,SCR,,1," "," ",14.333,H,,L,N,4,0,1,2,A,-,04,21703,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",36.984790802001953,-121.97708129882812,"SANTA CRUZ",UNINCORPORATED,-121.97710418701172,36.984737396240234
