CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8939711,2023,2025-06-28,4401,2023-11-18,2023,523,4401,6,5,3,4401,0,0,0,,0,,"CROSSROADS LP","BAY AV",0.00,,Y,C,-,N,,,,,,,,,,N,1,1,0,2,A,-,03,22350,,F,G,B,-,B,H,-,C,A,0,Y,,,,Y,,A,01,0,0,0,1,0,0,0,0,0,"- ","- ",,,"SANTA CRUZ",CAPITOLA,,
91379497,2021,2021-01-04,9720,2021-01-02,1210,022458,,6,1,9,4400,0,2,4,,1,022,"SOQUEL SAN JOSE RD","TERRACE GROVE RD",345.00,S,N,B,-,N,,,,,,,,,,Y,4,0,1,1,A,-,03,22350,,N,E,I,A,B,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.103530883789062,-121.94819641113281,"SANTA CRUZ",UNINCORPORATED,-121.94815063476562,37.103572845458984
91380848,2021,2021-01-05,9720,2021-01-04,2116,022458,,1,2,9,4400,0,1,3,,1,017,"SR-17 S/B","PASATIEMPO OVERCROSS",3168.00,S,N,A,-,Y,,,17,,,,,,S,Y,4,0,1,1,A,-,03,22350,,N,E,I,A,B,H,-,C,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",36.991909027099609,-122.02079772949219,"SANTA CRUZ",UNINCORPORATED,-122.02043151855469,36.991603851318359
91383317,2021,2021-01-07,9720,2021-01-04,0135,021717,,1,3,9,4400,0,2,4,,1,024,"CAPITOLA RD","HARBORVIEW CT",0.00,,Y,B,-,N,,,,,,,,,,N,2,0,1,1,A,-,17,21200,,N,E,I,A,B,H,-,D,D,0,,Y,,,Y,Y,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",36.980049133300781,-121.99506378173828,"SANTA CRUZ",UNINCORPORATED,-121.99516296386719,36.979972839355469
91383626,2021,2021-01-07,9720,2021-01-04,1352,022542,,1,1,9,4400,0,1,3,,1,017,"SR-17 N/B","EL RANCHO DR",191.00,S,N,B,C,Y,,,17,,,,,,N,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,B,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.018440246582031,-122.02777099609375,"SANTA CRUZ",UNINCORPORATED,-122.02780151367188,37.018436431884766
91383636,2021,2021-01-07,9720,2021-01-05,1559,021053,,2,2,9,4400,0,1,3,,1,034,SR-152,"GAFFEY RD",600.00,E,N,B,-,Y,,,152,,,,,,,Y,4,0,1,2,A,-,05,21460,A,F,A,C,A,B,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",36.982799530029297,-121.71469879150391,"SANTA CRUZ",UNINCORPORATED,-121.71476745605469,36.982940673828125
91385337,2021,2021-01-11,9720,2021-01-02,1532,022545,,6,2,9,4400,0,1,3,,1,017,"SR-17 S/B","MT HERMON RD",50.00,S,N,C,-,Y,,,17,,,,,,S,Y,4,0,1,1,A,-,01,23152,G,M,E,I,A,B,H,-,A,D,0,,,,,Y,Y,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",37.035560607910156,-122.02137756347656,"SANTA CRUZ",UNINCORPORATED,-122.02134704589844,37.035526275634766
91385999,2021,2021-01-12,9720,2021-01-02,0601,022564,,6,1,5,4402,0,1,3,,1,035,SR-129,"ROGGE LN",4752.00,W,N,B,-,Y,,,,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,E,I,A,B,H,-,D,D,0,,,,,Y,,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",36.910781860351562,-121.65180206298828,"SANTA CRUZ","SANTA CRUZ",-121.65125274658203,36.909904479980469
91386237,2021,2021-01-12,9720,2021-01-01,0430,022471,,5,3,9,4400,0,3,5,,2,200,ESPLANADE,"APTOS BEACH RD.",100.00,W,N,A,-,N,,,,,,,,,,Y,4,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,C,A,0,,,,,Y,Y,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",36.969200134277344,-121.90529632568359,"SANTA CRUZ",UNINCORPORATED,-121.905456,36.96931
91386578,2021,2021-01-13,9720,2021-01-02,2240,022349,,6,3,9,4400,0,3,5,,2,300,"WEST BEACH ROAD","THURWACHTER RD",0.00,,Y,B,F,N,,,,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,E,I,A,B,H,-,D,D,0,,,,,Y,Y,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",36.884590148925781,-121.79570007324219,"SANTA CRUZ",UNINCORPORATED,-121.79557800292969,36.884449005126953
