CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
9468620,2023,2023-09-22,3801,2023-08-20,1144,4283,RICHM,7,5,7,3801,0,0,0,,0,2CAR,"ARGUELLO BL","PRESIDIO TER",150.00,S,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,08,22107,,N,B,G,A,A,H,-,A,-,0,,Y,,,Y,,A,07,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.45935821533203,37.787929534912109
9553986,2023,2023-03-25,3801,2023-02-19,1510,469,MISSI,7,5,7,3801,0,0,0,,0,3D2D,SANCHEZ,"21ST ST",200.00,S,N,A,-,N,,,,,,,,,,Y,3,0,2,1,D,-,00,,,N,B,I,A,A,H,-,A,D,0,,,,,Y,,-,"- ",0,2,0,0,0,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.43003845214844,37.755832672119141
9573038,2023,2023-05-06,3801,2023-04-20,1908,1845,TARAV,4,5,7,3801,0,0,0,,0,3I1D,"KIRKHAM ST","30TH AV",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,11,21950,B,N,G,B,B,A,H,-,B,D,0,Y,,,,Y,,N,60,0,0,1,0,1,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.48863220214844,37.759311676025391
9573403,2023,2023-05-01,3801,2023-03-02,2115,1201,BAYVI,4,5,7,3801,0,0,0,,0,3C13E,"MIDDLE POINT RD","EVANS AV",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,12,22450,A,F,D,C,A,A,H,-,C,A,0,,,,,Y,,-,99,0,0,1,0,0,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.37911987304688,37.737693786621094
9591732,2023,2023-08-25,3801,2023-06-23,1850,2380,SOUTH,5,5,7,3801,0,0,0,,0,0B4,"MISSION ST","GRACE ST",9.00,W,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,08,22107,,N,D,C,A,A,H,-,A,A,0,,,Y,,Y,,A,07,0,1,0,0,0,0,0,0,1,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.41551208496094,37.775592803955078
9603692,2023,2023-09-06,3801,2023-07-13,1700,2400,BAYVI,4,5,7,3801,0,0,0,,0,3CAR,"INGALLS ST","PALOU AV",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,05,21752,D,N,D,-,A,A,H,-,A,A,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.38343811035156,37.729747772216797
9610670,2023,2023-09-22,3801,2023-08-01,1417,877,CENTR,2,5,7,3801,0,0,0,,0,3A44C,"MARKET ST","1ST ST",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,2,2,A,-,08,22101,D,N,D,B,-,A,H,-,A,A,0,Y,,Y,,Y,,C,02,1,0,1,0,1,0,0,0,1,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.39913940429688,37.791053771972656
9626069,2023,2023-10-11,3801,2023-09-07,1510,1825,SOUTH,4,5,7,3801,0,0,0,,0,3B14D,"BRYANT ST","8TH ST",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,2,2,A,-,08,22107,,N,B,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.406982421875,37.772514343261719
92062636,2023,2023-05-05,9335,2023-03-28,"356 ",023167,,2,3,7,3801,0,1,1,,1,083,"I-80 E/B","FOREST HILL ROAD",500.00,E,N,A,-,Y,SF,,80," ",R,7.899,H,,R,N,4,0,1,1,C,-,18,,,M,E,I,A,A,D,-,C,A,0,,,,,Y,,-,"- ",0,0,1,0,0,0,0,0,0,"- ","- ",37.810970306396484,-122.36396789550781,"SAN FRANCISCO","SAN FRANCISCO",-122.36412811279297,37.811065673828125
92185678,2023,2023-10-02,9335,2023-09-20,"935 ",023464,,3,1,7,3801,0,1,2,,2,013,"US-101 SOUTHBOUND","OF BAYSHORE BLVD OVERCROSSING",895.00,N,N,A,-,Y,SF,,101," "," ",0.736,H,,L,Y,3,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,08,0,1,0,0,0,0,0,0,0,"- ","- ",37.718219757080078,-122.39955902099609,"SAN FRANCISCO","SAN FRANCISCO",-122.39950561523438,37.718231201171875
