CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8939701,2023,2024-01-17,3801,2023-12-06,"146 ",262,TRAFF,3,5,7,3801,0,0,0,,0,4BIE,"ELLIS ST","POLK ST",0.00,,Y,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,12,21453,A,F,D,C,A,A,H,-,C,A,0,,,,,Y,,-,99,0,0,0,0,0,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.41934967041016,37.784042358398438
8939729,2023,2024-01-23,3801,2023-01-22,"211 ",1766,MISSI,7,5,7,3801,0,0,0,,0,4B103,"16TH ST","POTRERO AV",40.00,W,N,A,-,N,,,,,,,,,,Y,1,1,2,2,A,-,01,23152,A,N,C,C,A,A,H,-,C,A,0,,,,,Y,Y,A,07,0,0,2,0,0,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.40769958496094,37.765758514404297
8939731,2023,2025-06-28,3801,2023-10-19,"51  ",1422,TRAFF,4,5,7,3801,0,0,0,,0,04B,"VAN NESS AV","OFARRELL ST",21.00,N,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,C,A,0,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.42113494873047,37.784816741943359
91379292,2021,2021-01-04,9335,2021-01-01,0850,021222,,5,1,7,3801,0,1,2,,2,015,"US-101 SOUTHBOUND TO I-80 EASTBOUND","DIVISION STREET",160.00,N,N,A,-,Y,,,101,,,,R,,S,N,4,0,1,1,A,-,08,22107,,N,E,J,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.769901275634766,-122.40538024902344,"SAN FRANCISCO","SAN FRANCISCO",-122.40538024902344,37.769901275634766
91383940,2021,2021-01-08,9335,2021-01-02,1835,021886,,6,2,7,3801,0,1,2,,2,014,"US-101 N/B","18TH ST. PED O/C",810.00,S,N,B,-,Y,,,101,,,,,,N,Y,3,0,1,4,C,-,18,,,N,B,C,A,B,H,-,D,D,0,,,,,Y,,-,"- ",0,1,0,0,0,0,0,0,0,"- ","- ",37.760078430175781,-122.40625762939453,"SAN FRANCISCO","SAN FRANCISCO",-122.40625,37.760082244873047
91385748,2021,2021-01-12,9335,2021-01-09,0145,022326,,6,3,7,3801,0,1,2,,2,013,"US-101 N/B","FAITH ST PEDESTRIAN O/C",235.00,N,N,A,-,Y,,,101,,,,,,N,Y,3,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",37.744438171386719,-122.4051513671875,"SAN FRANCISCO","SAN FRANCISCO",-122.40524291992188,37.744483947753906
91386471,2021,2021-01-13,9335,2021-01-07,2153,021312,,4,2,7,3801,0,1,1,,2,080,"I-80 W/B","6TH STREET U/C",61.00,W,N,A,-,Y,,,80,,,,,,W,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,D,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.776889801025391,-122.40396118164062,"SAN FRANCISCO","SAN FRANCISCO",-122.40392303466797,37.776824951171875
91387487,2021,2021-01-14,9335,2021-01-06,1520,020658,,3,2,7,3801,0,1,1,,1,083,"I-80 E/B","YERBA BUENA ISLAND TUNNEL",8976.00,W,N,A,-,Y,,,80,,,,,,E,Y,4,0,1,2,A,-,01,23152,F,N,C,C,A,A,H,-,A,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",37.790180206298828,-122.38651275634766,"SAN FRANCISCO","SAN FRANCISCO",-122.38632965087891,37.789989471435547
91387958,2021,2021-01-15,9335,2021-01-08,1530,021222,,5,2,7,3801,0,1,2,,2,014,"US-101 SOUTHBOUND","16TH STREET",40.00,S,N,A,-,Y,,,101,,,,,,S,N,3,0,7,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,08,0,3,4,0,0,0,0,0,0,"- ","- ",37.765739440917969,-122.40524291992188,"SAN FRANCISCO","SAN FRANCISCO",-122.40519714355469,37.765743255615234
91388000,2021,2021-01-15,9335,2021-01-09,1555,021222,,6,2,7,3801,0,1,2,,2,013,"US-101 SOUTHBOUND","BACON STREET",700.00,S,N,A,-,Y,,,101,,,,,,S,N,4,0,1,2,A,-,03,22350,,F,C,C,A,A,H,-,A,D,0,,,,,Y,,-,99,0,0,1,0,0,0,0,0,0,"- ","- ",37.725921630859375,-122.40222930908203,"SAN FRANCISCO","SAN FRANCISCO",-122.40222930908203,37.725921630859375
