CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
81934645,2022,2024-03-13,4100,2022-10-05,1619,25081,,3,5,6,4106,0,0,0,,0,,"PARK PLAZA DR","355 SOUTH OF PROLOGATION OF JOHN DALY",0.00,,Y,B,-,N,,,,,,,,,,N,3,0,1,2,A,-,17,22517,,N,B,E,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",,,"SAN MATEO","DALY CITY",-122.48223114013672,37.702098846435547
81998418,2022,2023-02-20,4100,2022-10-27,1508,25081,N,4,5,6,4106,0,0,0,,0,00N,"SR-82 (EL CAMINO REAL)","A STREET",0.00,,Y,A,-,Y,,,,,,,,,,N,3,0,3,2,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,I,20,0,3,0,0,0,0,0,0,0,"- ","- ",,,"SAN MATEO","DALY CITY",-122.46456146240234,37.68609619140625
82161839,2023,2023-09-04,4100,2023-08-09,2230,25138,TRANS,3,5,6,4106,0,0,0,,0,00N,"JOHN DALY BLVD","DE LONG STREET",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,3,2,A,-,09,21453,C,N,D,C,A,A,H,-,C,A,0,,,,,Y,,I,20,0,2,1,0,0,0,0,0,0,"- ","- ",,,"SAN MATEO","DALY CITY",-122.46782684326172,37.705284118652344
91386468,2021,2021-01-13,9335,2021-01-06,1402,022596,,3,2,6,4106,0,1,1,,2,021,"I-280 N/B TO HICKEY BLVD.","HICKEY BLVD",136.00,S,N,A,-,Y,,,280,,,,R,,N,N,4,0,2,4,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,07,0,0,2,0,0,0,0,0,0,"- ","- ",37.662689208984375,-122.46405792236328,"SAN MATEO","DALY CITY",-122.46405792236328,37.662689208984375
91392198,2021,2021-01-21,9335,2021-01-18,1749,020610,,1,2,6,4106,0,1,1,,2,021,"I-280 N/B","SCHOOL ST. O/C",90.00,S,N,A,-,Y,,,280,,,,,,N,Y,4,0,1,2,A,-,07,21658,A,N,B,C,A,A,H,-,C,D,0,,,,,Y,Y,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",37.693050384521484,-122.47017669677734,"SAN MATEO","DALY CITY",-122.47032928466797,37.693046569824219
91398454,2021,2021-01-29,9335,2021-01-26,1715,021886,,2,2,6,4106,0,1,1,,2,021,"I-280 S/B TO SERRAMONTE BLVD.","SERRAMONTE BLVD U/C",1033.00,N,N,C,-,Y,,,280,,,,R,,S,Y,4,0,1,2,A,-,07,21658,A,N,B,C,A,B,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.672420501708984,-122.46778869628906,"SAN MATEO","DALY CITY",-122.46778869628906,37.672420501708984
91399156,2021,2021-02-01,9335,2021-01-24,1700,021736,,7,2,6,4106,0,1,1,,2,021,"I-280 N/B","KING DRIVE",2043.00,N,N,C,-,Y,,,280,,,,,,N,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,B,H,-,C,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.656139373779297,-122.45906066894531,"SAN MATEO","DALY CITY",-122.45899963378906,37.656215667724609
91405777,2021,2021-02-10,9335,2021-01-28,1500,022007,,4,2,6,4106,0,1,1,,2,021,"I-280 S/B","SAN PEDRO ROAD OVER-CROSSING",25.00,S,N,B,C,Y,,,280,,,,,,S,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,B,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.684638977050781,-122.47178649902344,"SAN MATEO","DALY CITY",-122.47152709960938,37.684627532958984
91408309,2021,2021-03-29,9335,2021-02-12,1540,022517,,5,2,6,4106,0,1,1,,2,020,"I-280 N/B","KING DRIVE UNDER CROSSING",1742.00,N,N,A,-,Y,,,280,,,,,,N,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,Y,Y,,F,55,0,0,1,0,0,0,0,0,0,"- ","- ",37.655719757080078,-122.45813751220703,"SAN MATEO","DALY CITY",-122.45822143554688,37.655612945556641
91412066,2021,2021-02-22,9335,2021-02-11,1635,022517,,4,2,6,4106,0,1,1,,2,021,"I-280 N/B","JUNIPERO SERRA BLVD OVER CROSSING",700.00,N,N,B,C,Y,,,280,,,,,,N,Y,2,0,1,3,A,-,08,22107,,N,B,C,A,B,H,-,A,D,0,,,,,Y,,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",37.697608947753906,-122.47135162353516,"SAN MATEO","DALY CITY",-122.47124481201172,37.6976318359375
91412072,2021,2021-02-22,9335,2021-02-13,0815,022040,,6,1,6,4106,0,1,1,,2,021,"I-280 S/B","WASHINGTON STREET",210.00,S,N,C,-,Y,,,280,,,,,,S,Y,3,0,1,2,A,-,08,22107,,N,D,C,A,B,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",37.687259674072266,-122.47138977050781,"SAN MATEO","DALY CITY",-122.47126007080078,37.687221527099609
91417388,2021,2021-03-01,9335,2021-02-25,1553,022517,,4,2,6,4106,0,1,1,,2,021,"I-280 SB TO HICKEY BLVD.","HICKEY BLVD",80.00,N,N,A,-,Y,,,280,,,,R,,S,Y,4,0,1,2,A,-,03,22350,,M,C,C,A,A,H,-,A,D,0,,,,,Y,,-,99,0,0,1,0,0,0,0,0,0,"- ","- ",37.664180755615234,-122.46620941162109,"SAN MATEO","DALY CITY",-122.46620941162109,37.664180755615234
91445653,2021,2021-04-08,9335,2021-04-03,1305,022596,,6,1,6,4106,0,1,1,,2,021,"I-280 N/B","SOUTHGATE AVENUE",676.00,S,N,A,-,Y,,,280,,,,,,N,Y,4,0,2,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",37.673618316650391,-122.46800231933594,"SAN MATEO","DALY CITY",-122.46805572509766,37.673580169677734
91449370,2021,2021-04-13,9335,2021-04-05,1345,022596,,1,1,6,4106,0,1,1,,2,021,"I-280 N/B TO HICKEY BLVD.","HICKEY BLVD.",1108.00,S,N,A,-,Y,,,280,,,,R,,N,N,4,0,1,2,A,-,"- ",,,N,B,C,A,A,H,-,A,D,0,,,,,Y,,-,"- ",0,0,1,0,0,0,0,0,0,"- ","- ",37.660079956054688,-122.46369171142578,"SAN MATEO","DALY CITY",-122.46369171142578,37.660079956054688
91456149,2021,2021-04-22,9335,2021-04-18,1340,022241,,7,1,6,4106,0,1,1,,2,021,"I-280 N/B","SERRAMONTE BOULEVARD UNDERCROSSING",885.00,S,N,A,-,Y,,,280,,,,,,N,N,4,0,2,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",37.667308807373047,-122.46546173095703,"SAN MATEO","DALY CITY",-122.46559143066406,37.667304992675781
91463801,2021,2021-05-03,9335,2021-04-24,2130,022271,,6,2,6,4106,0,1,1,,2,021,"I-280 N/B TO D STREET","JUNIPERO SERRA BLVD",61.00,S,N,B,-,Y,,,280,,,,R,,N,Y,3,0,3,3,A,-,07,21658,A,N,C,C,A,B,H,-,C,A,0,,,,,Y,Y,D,22,0,1,2,0,0,0,0,0,0,"- ","- ",37.683700561523438,-122.47103118896484,"SAN MATEO","DALY CITY",-122.47103118896484,37.683700561523438
