CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
81934645,1,3,Y,-,998,A,-,S,-,-,O,-,3,-,-,"- ",,,A,M,0,1,O,2013,CHEV,A,01,,,,-,-,2022
81934645,2,1,N,M,56,A,-,S,M,C,N,-,3,-,-,"- ",,,N,-,0,0,B,2009,GILLIG,I,11,,O,,-,-,2022
81998418,1,1,Y,M,66,A,-,N,M,C,N,-,3,-,-,"- ",,,A,N,0,2,B,2019,GILIG,I,20,,W,,-,-,2022
81998418,2,1,N,M,69,A,-,E,M,C,N,-,3,-,-,"- ",,,N,-,0,1,E,2005,HOND,A,01,,O,,-,-,2022
82161839,1,1,Y,M,39,A,-,N,M,H,N,-,3,-,-,"- ",,,N,-,0,2,E,2019,NFLYER,I,20,,B,,-,-,2023
82161839,2,1,N,M,64,A,-,E,L,G,N,-,3,-,-,"- ",,,N,-,0,1,B,2016,PORS,A,07,,A,,-,-,2023
91386468,1,1,Y,F,60,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2014,MAZD,A,07,,W,,-,-,2021
91386468,2,1,N,M,74,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,A,2007,HYUN,A,01,,A,,-,-,2021
91386468,3,1,N,F,59,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,A,1993,HOND,A,01,,W,,-,-,2021
91386468,4,1,N,M,38,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,A,2019,FORD,A,08,,A,,-,-,2021
91392198,1,1,Y,M,28,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,J,2000,CHEV,D,22,,O,,-,-,2021
91392198,2,1,N,F,26,B,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2016,FORD,A,01,,H,,-,-,2021
91398454,1,1,Y,F,48,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,J,2000,HONDA,A,01,,H,,-,-,2021
91398454,2,1,N,M,36,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2013,MERZ,A,07,,W,,-,-,2021
91399156,1,1,Y,M,55,A,-,N,L,G,Y,-,3,-,,25,22350,,A,-,0,1,R,2016,CHEV,A,01,,B,,-,-,2021
91405777,1,1,Y,M,38,A,-,S,M,G,Y,-,3,-,,25,22350,,A,-,0,1,R,2017,TOYO,A,01,,W,,-,-,2021
91408309,1,1,Y,M,28,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2019,RAM,F,55,,H,,-,-,2021
91408309,2,1,N,M,37,A,-,N,M,G,N,-,3,-,-,"- ",,,N,-,0,1,H,2020,DODG,A,01,,H,,-,-,2021
91412066,1,1,Y,F,41,A,-,N,L,G,Y,-,3,-,,25,22350,,A,-,0,0,R,2019,MERB,A,07,,B,,-,-,2021
91412066,2,1,N,M,32,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2013,BWM,A,01,,A,,-,-,2021
91412066,3,1,N,M,51,A,-,N,L,G,N,-,3,-,-,"- ",,,I,-,0,1,A,2017,HONDA,A,01,,W,,-,-,2021
91412072,1,1,Y,M,27,A,-,S,L,G,Y,-,3,-,,25,22350,,A,N,0,0,R,2010,HOND,A,01,,O,,-,-,2021
91412072,2,1,N,F,55,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,A,2013,HOND,A,07,,H,,-,-,2021
91417388,1,1,Y,X,998,G,G,S,B,B,N,-,-,E,-,"- ",,,N,-,0,0,B,,-,-,99,,,,-,-,2021
91417388,2,1,N,F,36,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2014,SUBA,A,01,,W,,-,-,2021
91445653,1,1,Y,F,33,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2005,FORD,A,01,,W,,-,-,2021
91445653,2,1,N,M,27,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,H,2020,TOYO,A,01,,H,,-,-,2021
91449370,1,1,N,M,34,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2000,TOYO,A,01,,W,,-,-,2021
91449370,2,1,N,M,32,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2020,MERB,A,01,,B,,-,-,2021
91456149,1,1,Y,F,18,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2016,HONDA,A,01,,O,,-,-,2021
91456149,2,1,N,F,36,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,2,H,2019,NISS,A,01,,O,,-,-,2021
91456149,3,1,N,M,47,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,H,2011,HYUN,A,01,,O,,-,-,2021
91463801,1,1,Y,F,32,C,-,N,P,G,N,-,3,-,-,"- ",,,N,-,0,1,J,1991,TOYO,D,22,,W,,-,-,2021
91463801,2,1,N,F,23,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,2,A,2017,AUDI,A,07,,A,,-,-,2021
91463801,3,1,N,M,39,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,A,2014,TOYO,A,01,,H,,-,-,2021
91468564,1,1,N,F,24,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2016,JEEP,A,07,,W,,-,-,2021
91468564,2,1,Y,F,47,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2020,HOND,A,07,,A,,-,-,2021
91468579,1,1,Y,M,24,B,-,N,L,H,N,-,3,-,,31,22107,,A,-,0,1,R,1993,HONDA,A,01,,H,,-,-,2021
91469846,1,1,Y,X,998,G,G,N,B,B,N,-,-,E,-,"- ",,,N,-,0,0,J,,-,-,99,,,,-,-,2021
91469846,2,1,N,M,31,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,2,B,2000,HOND,A,01,,O,,-,-,2021
91469846,3,1,N,F,22,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,3,B,2021,TOYO,A,01,,H,,-,-,2021
91469846,4,1,N,F,32,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2015,JEEP,A,07,,W,,-,-,2021
