CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
8939701,1,1,Y,-,998,G,G,W,B,-,,-,-,-,-,"- ",,,N,-,0,0,B,2011,-,-,99,,,,-,-,2023
8939701,2,5,N,-,998,G,G,N,-,-,O,-,3,-,,23,21453,A,A,N,1,0,B,,-,M,94,,,,-,-,2023
8939729,1,1,Y,M,22,B,-,E,L,B,,-,-,-,,25,22350,,A,N,0,1,B,2003,-,A,07,,O,,-,-,2023
8939729,2,1,N,M,46,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,1,1,A,2008,-,A,07,,B,,-,-,2023
8939731,1,2,Y,M,61,B,-,W,-,-,O,-,-,-,-,"- ",,,N,-,1,0,-,,-,N,60,,W,,-,-,2023
8939731,2,1,N,M,33,A,-,S,P,B,Y,-,3,-,-,"- ",,,N,-,0,0,B,2015,-,I,20,,A,,-,-,2023
91379292,1,1,Y,M,18,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,R,2004,"HONDA ",A,01,,H,,-,-,2021
91383940,1,1,N,M,41,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2004,CADI,D,22,,W,,-,-,2021
91383940,2,1,N,M,61,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2007,LAND,A,07,,B,,-,-,2021
91383940,3,1,N,M,44,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2006,TOYO,A,01,,A,,-,-,2021
91383940,4,1,N,M,54,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2008,HONDA,A,01,,A,,-,-,2021
91385748,1,1,Y,F,26,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,R,2020,HOND,A,01,,W,,-,-,2021
