CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8191587,2016,2016-12-28,109,2016-10-21,1132,9391,1,5,5,7,109,0,0,0,,0,13X,LA SALLE AV,MOUNTAIN BL,100.0,S,N,A,-,N,,,,,,,,,,N,3,0,1,3,A,-,21,22106.0,,N,D,E,A,A,H,-,A,D,0,,,,Y,Y,,A,01,0,1,0,0,0,0,0,0,0,- ,- ,,,ALAMEDA,OAKLAND,-122.20984796,37.82657738
8751587,2018,2018-12-18,113,2018-10-10,1014,4507,1283,3,5,5,113,0,0,0,,0,005,KOHOUTEK WY,WHIPPLE RD,584.0,N,N,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,03,22350.0,,N,C,E,A,A,H,-,A,D,0,,,,Y,Y,,A,01,0,1,0,0,0,0,0,0,0,- ,- ,,,ALAMEDA,UNION CITY,-122.08042144775392,37.60732269287109
8415287,2018,2018-07-23,106,2018-06-15,1102,341,,5,5,6,106,0,0,0,,0,00F,INDUSTRIAL BL,RUUS RD,155.0,W,N,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,08,22107.0,,N,C,E,A,A,H,-,A,A,0,,,,Y,Y,Y,A,01,1,0,0,0,0,0,0,0,0,- ,- ,,,ALAMEDA,HAYWARD,-122.06263732910156,37.61813354492188
9037620,2019,2020-02-12,109,2019-12-12,121,8676,2,4,5,7,109,0,0,0,,0,23X,E 8TH ST,ALAMEDA AV,198.0,W,N,C,-,N,,,,,,,,,,N,4,0,1,2,B,-,22,,,N,H,E,A,B,H,-,C,D,0,,,,Y,Y,,J,48,0,0,1,0,0,0,0,0,0,- ,- ,,,ALAMEDA,OAKLAND,-122.22211456298828,37.76813125610352
91069139,2019,2019-09-06,9375,2019-08-27,800,022278,,2,1,9,100,0,2,4,,1,023,LIBERTY ST,159TH AVE,662.0,S,N,A,-,N,,,,,,,,,,Y,4,0,1,6,A,-,08,22107.0,,N,B,E,A,A,H,-,A,D,0,,,,Y,Y,,F,26,0,0,1,0,0,0,0,0,0,- ,- ,37.703739166259766,-122.11506652832033,ALAMEDA,UNINCORPORATED,-122.11506652832033,37.70379257202149
91326265,2020,2020-10-19,9390,2020-10-08,2100,021763,,4,2,9,100,0,1,1,,2,065,I-680 SOUTHBOUND,CALAVERAS ROAD,100.0,S,N,A,-,Y,,,680.0,,,,,,S,Y,3,0,1,2,A,-,01,23152.0,A,F,C,E,A,A,D,-,C,A,0,,,,Y,Y,Y,A,01,0,1,0,0,0,0,0,0,0,- ,- ,37.58815002441406,-121.8713836669922,ALAMEDA,UNINCORPORATED,-121.87136840820312,37.58814239501953
9195444,2020,2021-02-01,109,2020-06-13,552,9799,2,6,5,7,109,0,0,0,,0,31Y,98TH AV,MADDUX DR,150.0,S,N,A,-,N,,,,,,,,,,Y,4,0,1,3,A,-,08,22107.0,,N,B,E,A,A,H,-,B,D,0,,,,Y,Y,,A,01,0,0,1,0,0,0,0,0,0,- ,- ,,,ALAMEDA,OAKLAND,-122.18444061279295,37.73471450805664
92167153,2023,2023-09-11,9345,2023-08-20,2325,022955,,7,3,9,100,0,2,S,,2,045,CROW CANYON RD,CROW CREEK RD,50.0,N,N,B,-,N,,,,,,,,,,Y,3,0,2,2,A,-,01,23152.0,A,N,C,E,A,A,H,-,C,D,0,,,,Y,Y,Y,A,01,0,2,0,0,0,0,0,0,0,- ,- ,37.70275115966797,-122.0500030517578,ALAMEDA,UNINCORPORATED,-122.05061340332033,37.70286178588867
6717731,2014,2016-07-07,9390,2014-11-01,515,020313,,6,3,9,100,0,1,1,,2,065,RT 680,VARGAS RD,1599.0,N,N,C,-,Y,ALA,4.0,680.0,-,R,7.81,H,-,S,Y,2,0,1,2,A,-,01,23152.0,A,N,C,E,A,B,H,-,D,D,1,,,,Y,Y,Y,A,07,1,0,0,0,0,0,0,0,0,- ,- ,37.55946,-121.91235,ALAMEDA,UNINCORPORATED,-121.91279541,37.55910362
91031954,2019,2019-07-16,9375,2019-07-04,1,022119,,4,3,9,100,0,1,3,,1,185,SR-185 (MISSION BLVD),MATTOX ROAD,154.0,N,N,A,-,Y,,,185.0,,,,,,,Y,3,0,1,2,A,-,01,23152.0,A,N,C,E,A,A,H,-,C,D,0,,,,Y,Y,Y,A,01,0,1,0,0,0,0,0,0,0,- ,- ,37.68606185913086,-122.10137939453124,ALAMEDA,UNINCORPORATED,-122.10135650634766,37.68609237670898
9154299,2020,2020-10-14,106,2020-08-04,137,373,,2,5,6,106,0,0,0,,0,00B,CITY CENTER DR,VISTA DEL PLAZA,240.0,E,N,A,-,N,,,,,,,,,,Y,3,0,2,2,A,-,03,22350.0,,N,E,E,A,A,H,-,C,D,0,,,,Y,Y,,A,01,0,1,1,0,0,0,0,0,0,- ,- ,37.68082046508789,-122.081787109375,ALAMEDA,HAYWARD,-122.08268737792967,37.68060302734375
9325242,2021,2021-10-15,105,2021-09-07,1137,12510,332,2,5,6,105,0,0,0,,0,001,RT 238,E KING AV,171.0,E,N,A,-,Y,ALA,4.0,238.0,-,-,5.51,H,-,N,Y,3,0,1,2,A,-,08,22107.0,,N,H,E,A,A,H,-,A,D,0,,,,Y,Y,,A,01,0,1,0,0,0,0,0,0,0,- ,- ,,,ALAMEDA,FREMONT,-122.00035858154295,37.588691711425774
9423368,2021,2022-03-29,109,2021-10-13,47,9691,1,3,5,7,109,0,0,0,,0,22X,MACARTHUR BL,COOLIDGE AV,0.0,,Y,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,03,22350.0,,N,D,E,A,A,H,-,C,D,0,,,,Y,Y,,A,01,0,0,1,0,0,0,0,0,0,- ,- ,,,ALAMEDA,OAKLAND,-122.20874786376952,37.79850769042969
