CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
92014126,2023,2023-03-09,9435,2023-02-27,2255,019523,,1,3,9,1000,0,3,5,,2,015,MARKS AVENUE,NORTH AVENUE,1584.0,N,N,C,-,N,,,,,,,,,,Y,3,0,1,2,A,-,01,23152.0,A,N,D,E,A,B,H,-,D,D,0,,,,Y,Y,Y,A,01,0,1,0,0,0,0,0,0,0,- ,- ,36.69684982299805,-119.84461975097656,FRESNO,UNINCORPORATED,-119.8445053100586,36.69644927978516
91552609,2021,2021-08-24,9495,2021-08-18,40,019424,,3,3,9,1000,0,1,1,,2,001,INTERSTATE 5 (NORTHBOUND),KAMM AVENUE,8448.0,S,N,A,-,Y,,,5.0,,,,,,,Y,3,0,2,2,A,-,08,22107.0,,N,B,E,A,A,H,-,A,D,0,,,,Y,Y,,G,25,0,1,1,0,0,0,0,0,0,- ,- ,36.5068588256836,-120.45997619628906,FRESNO,UNINCORPORATED,-120.46003723144533,36.50680160522461
9417400,2022,2022-04-05,1013,2022-02-05,1658,M166,SANGE,6,5,3,1013,0,0,0,,0,M02,5TH ST,J ST,66.0,W,N,A,-,N,,,,,,,,,,Y,2,0,1,5,A,-,01,23153.0,A,F,C,E,A,A,H,-,A,D,0,,,,Y,Y,Y,F,55,1,0,0,0,0,0,0,0,0,- ,- ,,,FRESNO,SANGER,-119.55247497558594,36.70969009399414
6380467,2014,2016-03-24,9435,2014-02-01,540,017310,,6,3,9,1000,0,1,3,,2,106,RT 99,CLOVIS AV,1373.0,N,N,A,-,Y,FRE,6.0,99.0,-,-,12.706,H,-,N,Y,4,0,1,2,A,-,08,22107.0,,N,B,E,A,A,H,-,D,D,1,,,,Y,Y,,D,22,0,0,1,0,0,0,0,0,0,- ,- ,36.6373,-119.69585,FRESNO,UNINCORPORATED,-119.70334976,36.64405887
90924055,2019,2019-02-11,9435,2019-02-03,2100,018912,,7,2,9,1000,0,3,5,,2,040,VINELAND AVENUE,NORTH AVENUE,2112.0,N,N,B,-,N,,,,,,,,,,N,3,0,1,2,A,-,08,22107.0,,N,B,E,A,A,H,-,D,D,0,,,Y,Y,Y,,C,02,0,1,0,0,0,0,0,0,1,- ,- ,36.697708129882805,-119.05181884765624,FRESNO,UNINCORPORATED,-120.05177307128906,36.6971092224121
90933932,2019,2019-02-26,9435,2019-02-16,2252,020586,,6,3,9,1000,0,3,5,,2,030,BELMONT AVE,DE WOLF AVE,1056.0,E,N,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,01,23152.0,F,N,C,E,A,A,H,-,D,D,0,,,,Y,Y,,A,01,1,0,0,0,0,0,0,0,0,- ,- ,36.75028991699219,-119.64306640625,FRESNO,UNINCORPORATED,-119.6423110961914,36.75022888183594
91810014,2022,2022-07-05,9461,2022-06-28,237,018586,,2,3,9,1000,0,1,1,,2,305,I-5 N/B,HERNDON AVE,2640.0,S,N,A,-,Y,FRE,,5.0,,,64.068,H,,R,Y,3,0,2,2,A,-,08,22107.0,,N,B,E,A,A,H,-,D,D,0,,,,Y,Y,,G,25,0,1,1,0,0,0,0,0,0,- ,- ,36.828628540039055,-120.75882720947266,FRESNO,UNINCORPORATED,-120.7588119506836,36.82863998413086
91943175,2022,2022-12-15,9495,2022-12-02,1515,021029,,5,2,9,1000,0,1,1,,2,003,INTERSTATE 5 (NORTHBOUND),STATE ROUTE 269 (LASSEN AVE),5808.0,N,N,A,-,Y,FRE,,5.0,,,1.313,H,,R,Y,4,0,2,2,A,-,08,22107.0,,N,B,E,A,A,H,-,A,D,0,,,,Y,Y,,G,25,0,0,2,0,0,0,0,0,0,- ,- ,36.089088439941406,-120.11412811279295,FRESNO,UNINCORPORATED,-120.11418151855467,36.08905792236328
6718756,2017,2019-04-08,1000,2017-01-26,2217,410,1071,4,5,2,1010,0,0,0,,0,901,ANCHOR AV,SOUTH AV,304.0,S,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,07,21658.0,A,N,C,E,A,A,H,-,C,A,0,,,,Y,Y,Y,A,01,0,0,0,0,0,0,0,0,0,- ,- ,36.3659,-119.1922,FRESNO,ORANGE COVE,-119.32285,36.61741
81528092,2021,2021-07-26,1005,2021-07-02,1600,P1879,CE,5,5,7,1005,0,0,0,,0,00C,SHIELDS AVE,VAN NESS BLVD,0.0,,Y,A,-,N,,,,,,,,,,Y,4,0,1,3,A,-,12,21453.0,A,N,D,E,A,A,H,-,A,A,0,,,,Y,Y,,F,26,0,0,1,0,0,0,0,0,0,- ,- ,36.779399871826165,-119.80412292480467,FRESNO,FRESNO,-119.80419158935548,36.779399871826165
