CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
90091033,2015,2016-01-08,9540,2015-12-18,2040,019545,,5,2,9,1900,0,1,1,,2,511,I-5 S/B (WHITAKER BRAKE CHECK),TEMPLIN HWY,8448.0,N,N,A,-,Y,,,5.0,,,,,,S,Y,2,0,4,3,A,-,16,24002.0,A,N,C,E,A,A,H,-,C,D,0,,,,Y,Y,,B,08,2,1,1,0,0,0,0,0,0,- ,- ,34.58468,-118.70984,LOS ANGELES,UNINCORPORATED,-118.70965938,34.58485618
90106231,2015,2016-02-01,9535,2015-10-31,1251,021143,,6,1,9,1900,0,3,5,,2,001,MARIANNA AVE (500 BLOCK),HAMMEL ST,10.0,N,N,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,08,22107.0,,M,B,E,A,A,H,-,A,A,0,,,,Y,Y,,F,26,0,1,0,0,0,0,0,0,0,- ,- ,34.04253,-118.17571,LOS ANGELES,UNINCORPORATED,-118.17579,34.04242742
9190563,2020,2021-02-18,1910,2020-09-13,2239,05285,,7,5,4,1910,0,0,0,,0,005,SANTA MONICA BL,MORENO DR,35.0,E,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,01,23152.0,A,M,C,E,A,A,H,-,C,D,0,,,,Y,Y,Y,A,01,0,0,1,0,0,0,0,0,0,- ,- ,34.0640983581543,-118.41380310058594,LOS ANGELES,BEVERLY HILLS,-118.41396331787108,34.063995361328125
90176276,2016,2016-05-10,9535,2016-03-25,30,021052,,5,3,9,1900,0,1,3,,2,601,SR-60 W/B (POMONA FREEWAY),BELVEDERE POC,25.0,E,N,A,-,Y,,,60.0,,,,,,W,Y,3,0,1,2,A,-,08,22107.0,,N,C,E,A,A,H,-,C,D,0,,,,Y,Y,,A,01,0,1,0,0,0,0,0,0,0,- ,- ,34.0351,-118.1781,LOS ANGELES,UNINCORPORATED,-118.17795874,34.03451712
8438252,2017,2017-09-02,1900,2017-07-11,1606,615096,1332,2,5,5,1908,0,0,0,,0,133A,ROSECRANS BL,CLARK AV,1330.0,W,N,A,-,N,,,,,,,,,,Y,4,0,2,6,A,-,08,22107.0,,N,B,E,A,A,H,-,A,D,0,,,,Y,Y,,I,20,0,0,2,0,0,0,0,0,0,- ,- ,,,LOS ANGELES,BELLFLOWER,-118.13844954,33.90394215
8958150,2019,2019-10-21,1906,2019-09-21,404,4434,,6,5,5,1906,0,0,0,,0,002,STEWART AV,EDISON POLE #1384646E,45.0,S,N,A,-,N,,,,,,,,,,Y,3,0,2,2,A,-,08,22107.0,,N,A,E,A,A,H,-,C,D,0,,,,Y,Y,,A,01,0,2,0,0,0,0,0,0,0,- ,- ,,,LOS ANGELES,BALDWIN PARK,,
90775569,2018,2018-07-24,9540,2018-06-15,1615,021118,,5,2,9,1900,0,1,1,,2,507,I-5 S/B (GOLDEN STATE FWY),MAGIC MOUNTAIN PKY,1056.0,S,N,A,-,Y,,,5.0,,,,,,S,Y,3,0,1,2,A,-,01,23152.0,F,N,C,E,A,A,D,-,A,A,0,,,,Y,Y,,A,01,0,1,0,0,0,0,0,0,0,- ,- ,34.41934967041016,-118.58155822753906,LOS ANGELES,UNINCORPORATED,-118.58147430419922,34.419395446777344
6749602,2014,2015-07-06,1909,2014-11-23,448,421,1909,7,5,4,1909,0,0,0,,0,NORTH,GAGE AV,SPECHT AV,21.0,W,N,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,08,22107.0,,N,C,E,A,A,H,-,C,D,0,,,,Y,Y,,D,22,0,1,0,0,0,0,0,0,0,- ,- ,,,LOS ANGELES,BELL GARDENS,-118.16517859,33.97566716
6828272,2014,2015-03-09,9550,2014-12-19,56,19017,,5,3,9,1900,0,1,3,,2,601,RT 60,AZUSA AV,600.0,W,N,A,-,Y,,,60.0,,,,,,,Y,2,0,2,2,A,-,01,23152.0,A,N,B,E,A,A,H,-,C,D,0,,,,Y,Y,Y,A,01,1,1,0,0,0,0,0,0,0,- ,- ,33.99724,-117.93331,LOS ANGELES,UNINCORPORATED,-117.93329651,33.99729667
81881125,2022,2022-10-04,1922,2022-09-02,235,707,1922,5,5,6,1922,0,0,0,,0,001,PECK RD,MULHALL ST (N),0.0,,Y,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,08,22107.0,,N,C,E,A,A,H,-,C,D,0,,,,Y,Y,,A,01,0,1,0,0,0,0,0,0,0,- ,- ,34.0882682800293,-118.0158920288086,LOS ANGELES,EL MONTE,-118.0160675048828,34.087852478027344
